Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Finpilot,https://www.crunchbase.com/funding_round/finpilot-seed--3fcc750a,Seed,500000,USD,500000,2023-06-02,2,1,Finpilot uses artificial intelligence to explore publicly available corporate files and respond to research requests in natural language.,"Artificial Intelligence, Cloud Data Services, Finance, Predictive Analytics, Software","Seattle, Washington, United States, North America",,https://www.finpilot.ai,Finpilot,https://www.crunchbase.com/organization/finpilot
Seed Round - Founders League,https://www.crunchbase.com/funding_round/founders-league-01d2-seed--c9ad1803,Seed,,,,2023-05-23,3,2,Founders League is the platform of interactive ecosystem for start-ups.,Impact Investing,"Fulda, Hessen, Germany, Europe",,https://www.foundersleague.de/,Founders League,https://www.crunchbase.com/organization/founders-league-01d2
Pre Seed Round - 2045 Studio,https://www.crunchbase.com/funding_round/2045-studio-pre-seed--d3bf170e,Pre-Seed,4200000,USD,4200000,2023-06-06,2,1,2045 Studio offers network for influential professionals of color.,"Financial Services, Internet, Professional Services, Software, Training","New York, New York, United States, North America",,https://2045studio.com/,2045 Studio,https://www.crunchbase.com/organization/2045-studio
Seed Round - Sertis,https://www.crunchbase.com/funding_round/sertis-seed--1a0dee07,Seed,553875,USD,553875,2023-06-06,,1,Sertis is an insurance company that provides property and casualty insurance to multifamily operators.,"Financial Services, Insurance, Property Management","Reno, Nevada, United States, North America",,https://www.sertisins.com,Sertis,https://www.crunchbase.com/organization/sertis
Seed Round - Fig Financial,https://www.crunchbase.com/funding_round/fig-financial-seed--37323bb8,Seed,,,,2023-05-16,2,1,Fig Financial operates as a fully digital lending platform.,"Finance, Financial Services","Montréal, Quebec, Canada, North America",,,Fig Financial,https://www.crunchbase.com/organization/fig-financial
Seed Round - Conductor Solar,https://www.crunchbase.com/funding_round/conductor-solar-seed--02031241,Seed,645000,USD,645000,2023-06-02,,1,Conductor Solar is a fintech platform developer with a mission to revolutionize commercial solar transactions.,"FinTech, Solar","Athens, Ohio, United States, North America",,https://conductor.solar/,Conductor Solar,https://www.crunchbase.com/organization/conductor-solar
Seed Round - Profit,https://www.crunchbase.com/funding_round/profit-4c96-seed--5b8a3e3f,Seed,975000,USD,975000,2023-06-01,,1,"Profit is a SaaS fintech app revealing customer profitability, empowering informed decisions.","FinTech, Information Technology, SaaS","Southlake, Texas, United States, North America",,https://profitinc.com/,Profit,https://www.crunchbase.com/organization/profit-4c96
Seed Round - Holdingz,https://www.crunchbase.com/funding_round/holdingz-seed--8df0a3c9,Seed,3000000,USD,3000000,2023-05-31,,2,"Holdingz is a risk management platform that helps businesses diversify, protect, and grow their holdings.","Consulting, Finance, Risk Management","San Francisco, California, United States, North America",,https://www.holdings.io,Holdingz,https://www.crunchbase.com/organization/holdingz
Pre Seed Round - Foliume,https://www.crunchbase.com/funding_round/foliume-pre-seed--3c318c43,Pre-Seed,270000,EUR,292097,2023-05-19,1,1,Foliume is an artificial intelligence solutions that prevent customer churn and increase cross-selling.,"Artificial Intelligence, Customer Service, Finance, Insurance","Madrid, Madrid, Spain, Europe",,https://www.foliume.com/,Foliume,https://www.crunchbase.com/organization/foliume
Pre Seed Round - IVITECH,https://www.crunchbase.com/funding_round/ivitech-pre-seed--87e1b743,Pre-Seed,200000,USD,200000,2023-05-19,1,2,"fintech platform for onboarding, alternative scoring and financing of clients in the growing SME sectors: ride hailing, etc.","Consulting, Financial Services","Singapore, Central Region, Singapore, Asia",,https://ivitech-finance.com/,IVITECH,https://www.crunchbase.com/organization/ivitech
Pre Seed Round - StocksFC,https://www.crunchbase.com/funding_round/stocksfc-pre-seed--32c47219,Pre-Seed,100000,EUR,108379,2023-05-17,1,1,StocksFC is the first football stock exchange based on blockchain technology.,"Blockchain, Internet, Stock Exchanges","Amsterdam, Noord-Holland, The Netherlands, Europe",,https://stocksfc.com,StocksFC,https://www.crunchbase.com/organization/stocksfc
Seed Round - LGX Energy,https://www.crunchbase.com/funding_round/lgx-energy-seed--f7d07659,Seed,165000,USD,165000,2023-05-19,,4,"LGX Energy focuses on the acquisition, exploration, development, and production of oil and gas properties.","Energy, Financial Services, Oil and Gas","Walla Walla, Washington, United States, North America",,https://lgxenergycorp.com,LGX Energy,https://www.crunchbase.com/organization/lgx-energy
Seed Round - Zero Day Labs,https://www.crunchbase.com/funding_round/zero-day-labs-seed--754cb17a,Seed,432500,USD,432500,2023-05-18,,1,Zero Day Labs is a research and development lab that focuses on the Ethereum and Starknet protocols.,"Blockchain, Financial Services, FinTech",,,https://www.zdlabs.io/,Zero Day Labs,https://www.crunchbase.com/organization/zero-day-labs
Seed Round - Verify Smart,https://www.crunchbase.com/funding_round/verify-smart-corp-seed--bc50b8ed,Seed,51000,USD,51000,2023-05-17,,1,Verify Smart is a technology company developing innovative solutions for the global wireless market.,"Fraud Detection, Information Technology, Wireless","Fernley, Nevada, United States, North America",Less than $1M,,Verify Smart,https://www.crunchbase.com/organization/verify-smart-corp
Seed Round - Utility Ranger,https://www.crunchbase.com/funding_round/utility-ranger-seed--a8104b11,Seed,375000,USD,375000,2023-05-16,,2,Utility Ranger develops a platform designed for apartment owners to bill their tenants for their utilities.,"Billing, Payments, Rental Property, SaaS","Miami, Florida, United States, North America",,https://utilityranger.com/,Utility Ranger,https://www.crunchbase.com/organization/utility-ranger
Seed Round - Zulafly,https://www.crunchbase.com/funding_round/zulafly-seed--abc66e25,Seed,99999,USD,99999,2023-05-15,,1,"Zulafly renders asset management, mobility, environmental monitoring, staff safety and software solutions.","Asset Management, Information Technology, Software","Fargo, North Dakota, United States, North America",$1M to $10M,https://www.zulafly.com/,Zulafly,https://www.crunchbase.com/organization/zulafly
Seed Round - Liberty Leaf AI,https://www.crunchbase.com/funding_round/liberty-leaf-ai-seed--1c2f612d,Seed,,,,2023-05-15,,1,"Liberty Leaf AI is an AI FinTech Start Up Revolutionizing Wall Street with AI-Cryptocurrency, AI-Securities, AI-Weapons & AI-Robots","Artificial Intelligence, Blockchain, Cannabis, Cryptocurrency, Finance, Machine Learning","Albany, New York, United States, North America",,https://libertyleaf.ai/,Liberty Leaf AI,https://www.crunchbase.com/organization/liberty-leaf-ai
Seed Round - Aimplan,https://www.crunchbase.com/funding_round/aimplan-seed--b13fcf51,Seed,,,,2023-05-30,3,1,"SaaS solution extending Power BI with planning, forecasting, financial reporting, and master data management","Finance, FinTech, SaaS","Skellefteå, Vasterbottens Lan, Sweden, Europe",,https://www.aimplan.com,Aimplan,https://www.crunchbase.com/organization/aimplan
Seed Round - Hercle,https://www.crunchbase.com/funding_round/hercle-financial-seed--2a593d07,Seed,2000000,USD,2000000,2023-05-23,3,3,Hercle is a digital assets market maker and broker dealer,"Cryptocurrency, Financial Services, FinTech","Milano, Lombardia, Italy, Europe",,https://hercle.financial/,Hercle,https://www.crunchbase.com/organization/hercle-financial
Pre Seed Round - Artificient Mobility Intelligence,https://www.crunchbase.com/funding_round/artificient-mobility-intelligence-pre-seed--341e013d,Pre-Seed,500000,USD,500000,2023-06-09,2,3,"Europe’s 1st Smart Driving App Powered by AI Computer Vision towards Safer, Greener and Smarter Mobility","Artificial Intelligence, Auto Insurance, Car Sharing, Computer Vision, InsurTech, Logistics, Machine Learning, Mobile Apps","Aachen, Nordrhein-Westfalen, Germany, Europe",,http://www.artificient.de,Artificient Mobility Intelligence,https://www.crunchbase.com/organization/artificient-mobility-intelligence
Seed Round - Othersphere,https://www.crunchbase.com/funding_round/othersphere-seed--bc691cb3,Seed,,,,2023-06-01,2,2,Othersphere identifies profitable and sustainable locations for deploying zero or low greenhouse gas industrial technologies.,"Finance, Industrial, Information Technology","Vancouver, British Columbia, Canada, North America",,https://www.othersphere.io,Othersphere,https://www.crunchbase.com/organization/othersphere
Pre Seed Round - Tonder,https://www.crunchbase.com/funding_round/tonder-pre-seed--cc301452,Pre-Seed,,,,2023-06-01,4,1,"Tonder is a unified platform that helps companies improve acceptance rates, minimize fraud, and manage their payment stack in one place.",Payments,"Miami, Florida, United States, North America",,http://www.tonder.io,Tonder,https://www.crunchbase.com/organization/tonder
Pre Seed Round - Safe,https://www.crunchbase.com/funding_round/safe-0f52-pre-seed--915291ce,Pre-Seed,50000,USD,50000,2023-05-29,1,1,An Escrow App for eCommerce Transactions,"FinTech, Payments",,,https://joinsafe.app/,Safe,https://www.crunchbase.com/organization/safe-0f52
Pre Seed Round - MuduPay,https://www.crunchbase.com/funding_round/mudupay-pre-seed--83dfaf81,Pre-Seed,50000,USD,50000,2023-06-09,1,1,MuduPay makes local and online payments from their mobile money accounts.,"Financial Services, Information Technology, Mobile Payments, Payments","Fulton, Maryland, United States, North America",Less than $1M,https://mudupay.com,MuduPay,https://www.crunchbase.com/organization/mudupay
Pre Seed Round - ePoultry,https://www.crunchbase.com/funding_round/epoultry-pre-seed--3272418f,Pre-Seed,50000,USD,50000,2023-06-09,1,6,ePoultry is a marketplace that connects farmers to input finance,"Agriculture, AgTech, Financial Services, Logistics, Marketplace, Software","Austin, Texas, United States, North America",,https://www.epoultry.africa,ePoultry,https://www.crunchbase.com/organization/epoultry
Pre Seed Round - NORTHSTAKE,https://www.crunchbase.com/funding_round/northstake-pre-seed--041249f5,Pre-Seed,3100000,USD,3100000,2023-05-23,1,5,OWN A STAKE IN FUTURE ECONOMIES. Secure and compliant digital asset investments for institutional investors.,"Blockchain, Cryptocurrency, Financial Services","Copenhagen, Hovedstaden, Denmark, Europe",,https://www.northstake.dk/,NORTHSTAKE,https://www.crunchbase.com/organization/northstake
Pre Seed Round - Murabi,https://www.crunchbase.com/funding_round/murabi-pre-seed--e727c972,Pre-Seed,,,,2023-06-01,1,1,Murabi is b2b SaaS platform enabling smarter lending.,"Apps, Finance, Information Technology","Oakland, California, United States, North America",,https://www.murabi.fi/,Murabi,https://www.crunchbase.com/organization/murabi
Pre Seed Round - Glassbox Deals,https://www.crunchbase.com/funding_round/glassbox-deals-pre-seed--bf73b323,Pre-Seed,220000,CAD,161607,2023-05-27,1,1,Build any bespoke financial model with speed and accuracy.,"Finance, Information Technology, SaaS","Toronto, Ontario, Canada, North America",,https://www.glassboxdeals.com/,Glassbox Deals,https://www.crunchbase.com/organization/glassbox-deals
Pre Seed Round - Blind Creator,https://www.crunchbase.com/funding_round/blind-creator-pre-seed--936f1115,Pre-Seed,500000,USD,500000,2023-05-31,1,1,SaaS with embedded finance for Content Creators,"Content Creators, FinTech, SaaS","Mexico City, Distrito Federal, Mexico, North America",,https://www.blindcreator.com/,Blind Creator,https://www.crunchbase.com/organization/blind-creator
Seed Round - Bellame,https://www.crunchbase.com/funding_round/bellame-seed--9cd7e36a,Seed,,,,2023-05-28,1,1,"Bellame is a beauty, cosmetic, and personal care industry firm.","Beauty, Gift Card, Sales, Shipping, Shopping","Fort Worth, Texas, United States, North America",$1M to $10M,https://www.bellame.com/,Bellame,https://www.crunchbase.com/organization/bellame
Seed Round - g100,https://www.crunchbase.com/funding_round/g100-b6ba-seed--9b4eb274,Seed,,,,2023-05-24,1,1,Swiss owned tech investment company,"Finance, FinTech, Information Technology",,,http://g100.to,g100,https://www.crunchbase.com/organization/g100-b6ba
Pre Seed Round - Unplex,https://www.crunchbase.com/funding_round/unplex-pre-seed--be3b13dd,Pre-Seed,100000,USD,100000,2023-05-18,,4,Unplex is a cross border payments platform simplifying the global movement of money for peer-to-peer and freelancers.,"Banking, FinTech, Payments","Chicago, Illinois, United States, North America",,https://unplex.app,Unplex,https://www.crunchbase.com/organization/unplex
Pre Seed Round - Bollwerk,https://www.crunchbase.com/funding_round/bollwerk-pre-seed--34b116ad,Pre-Seed,,,,2023-05-19,1,2,Bollwerk provides an AI-powered research and collaboration tool for financial institutions.,"Analytics, Artificial Intelligence, Finance, FinTech, Information Technology, Machine Learning, Natural Language Processing","Zürich, Zurich, Switzerland, Europe",,https://bollwerk.io,Bollwerk,https://www.crunchbase.com/organization/bollwerk
Pre Seed Round - Tradeup Exchange,https://www.crunchbase.com/funding_round/tradeup-exchange-pre-seed--8f69d0a1,Pre-Seed,,,,2023-05-20,0,1,The way collectors trade their cards online.,"Collectibles, E-Commerce, E-Commerce Platforms, Internet, Trading Platform","Los Angeles, California, United States, North America",,https://tradeup.exchange/,Tradeup Exchange,https://www.crunchbase.com/organization/tradeup-exchange
Pre Seed Round - Jenesys,https://www.crunchbase.com/funding_round/jenesys-pre-seed--ff1d0df6,Pre-Seed,120000,GBP,148939,2023-05-18,1,1,Financial Copilot to intelligently automate SME company costs. B2B SaaS,"Accounting, Payments, Software","London, England, United Kingdom, Europe",,https://jenesys.ai,Jenesys,https://www.crunchbase.com/organization/jenesys
Pre Seed Round - Bitica,https://www.crunchbase.com/funding_round/bitica-pre-seed--04ee6795,Pre-Seed,,,,2023-06-01,,1,Bitica is a contract and decentralized application platform for crypto revolution.,"Bitcoin, Cryptocurrency, Finance, Financial Exchanges, Financial Services, Information Technology, Internet of Things, Marketing, Service Industry","Dubai, Dubai, United Arab Emirates, Asia",,https://thebitica.com,Bitica,https://www.crunchbase.com/organization/bitica
Seed Round - Nakit Yok,https://www.crunchbase.com/funding_round/nakit-yok-seed--2b450c13,Seed,20000,USD,20000,2023-05-15,1,2,"E-tips, QR bills and loyalty system in HoReCa","Billing, CRM, Loyalty Programs, Payments, QR Codes, SaaS","Antalya, Antalya, Turkey, Europe",,https://nakit-yok.com,Nakit Yok,https://www.crunchbase.com/organization/nakit-yok
Seed Round - RomDefi,https://www.crunchbase.com/funding_round/romdefi-seed--e7a91f80,Seed,450000,USD,450000,2023-06-20,,1,RomDefi is an Europe-based startup that offers a blockchain-based game app.,"Apps, Blockchain, FinTech, Gaming","Bucharest, Bucuresti, Romania, Europe",,http://romdefi.com,RomDefi,https://www.crunchbase.com/organization/romdefi
Pre Seed Round - Saakh,https://www.crunchbase.com/funding_round/saakh-pre-seed--5dcb9983,Pre-Seed,,,,2023-06-08,,1,B2B Fintech company,"Accounting, Analytics, B2B, Big Data, FinTech, Information Technology, Mobile Payments, SaaS","Ahmedabad, Gujarat, India, Asia",,https://www.saakh.in/,Saakh,https://www.crunchbase.com/organization/saakh
Seed Round - Betaflow,https://www.crunchbase.com/funding_round/betaflow-seed--438ba1a8,Seed,50000,USD,50000,2023-06-03,,2,Financial Technologies,"Financial Services, Software","Paris, Ile-de-France, France, Europe",,,Betaflow,https://www.crunchbase.com/organization/betaflow
Pre Seed Round - Trendx,https://www.crunchbase.com/funding_round/trendx-pre-seed--0a793f81,Pre-Seed,,,,2023-06-01,,1,"Blockchain powered DeFi ecosystem for asset-backed tokens, collateralized lending and tokenization.","Blockchain, FinTech, Software","Wilmington, Delaware, United States, North America",,https://trendx.app/,Trendx,https://www.crunchbase.com/organization/trendx
Seed Round - Eagle Investors,https://www.crunchbase.com/funding_round/eagle-investors-seed--d4a7d562,Seed,,,,2023-06-01,,1,Eagle Investors is a fintech investment advisory company.,"Finance, Financial Services, FinTech, Software, Trading Platform","Bloomington, Indiana, United States, North America",,https://eagle-investors.com,Eagle Investors,https://www.crunchbase.com/organization/eagle-investors
Pre Seed Round - Vasar,https://www.crunchbase.com/funding_round/vasar-pre-seed--bf0d5eb2,Pre-Seed,,,,2023-05-16,,1,B2B marketplace connecting players in the manufacturing and industrial sector.,"B2B, Manufacturing, Marketplace, Payments, Supply Chain Management",,,https://vasar.io,Vasar,https://www.crunchbase.com/organization/vasar
Seed Round - Ground Truth Intelligence,https://www.crunchbase.com/funding_round/ground-truth-intelligence-seed--be3f6e26,Seed,,,,2023-06-01,,3,The One-Stop Platform for Global Due Diligence,"Business Intelligence, Compliance, Fraud Detection, SaaS, Security, Software","London, England, United Kingdom, Europe",Less than $1M,https://www.gtintel.io,Ground Truth Intelligence,https://www.crunchbase.com/organization/ground-truth-intelligence
Seed Round - Fortuna Media Group,https://www.crunchbase.com/funding_round/fortuna-media-group-406c-seed--98e8ff68,Seed,45000,USD,45000,2023-05-29,,8,"Social Media Services - Ecommerce, Community Mangement, Production, Consulting","Consulting, Content Creators, Finance, Marketing, Social Media, Social Media Management, Social Network, Web Development","Seattle, Washington, United States, North America",,https://www.fortunamediagroup.com,Fortuna Media Group,https://www.crunchbase.com/organization/fortuna-media-group-406c
Pre Seed Round - Hard Hat Real Estate,https://www.crunchbase.com/funding_round/hard-hat-real-estate-pre-seed--167e0675,Pre-Seed,,,,2023-06-03,,1,Real Estate Firm,"Financial Services, Real Estate, Software","San Antonio, Texas, United States, North America",,https://hardhatrealestate.com,Hard Hat Real Estate,https://www.crunchbase.com/organization/hard-hat-real-estate
Pre Seed Round - Vidioo Media Group,https://www.crunchbase.com/funding_round/vidioo-media-group-pre-seed--8267e46f,Pre-Seed,,,,2023-06-01,,1,Software Development Agency,"Advertising, Financial Services, FinTech, iOS, SaaS, Software","New York, New York, United States, North America",,https://www.vidioomediagroup.com,Vidioo Media Group,https://www.crunchbase.com/organization/vidioo-media-group
Pre Seed Round - Company Rock,https://www.crunchbase.com/funding_round/company-rock-pre-seed--ae9889d4,Pre-Seed,500000,USD,500000,2023-06-06,,1,A rock-solid foundation toolkit for starting and growing your company.,"FinTech, Information Technology, Legal Tech","San Francisco, California, United States, North America",,https://companyrock.com,Company Rock,https://www.crunchbase.com/organization/company-rock
