Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Pre Seed Round - CapStack,https://www.crunchbase.com/funding_round/capstack-pre-seed--139a81bc,Pre-Seed,6000000,USD,6000000,2023-07-12,10,1,CapStack is a banking system that promotes collaboration among banks and financial services providers to boost asset profitability.,"Banking, Financial Services, FinTech, Information Technology","Miami, Florida, United States, North America",,https://www.capstack.com,CapStack,https://www.crunchbase.com/organization/capstack,"Alloy Labs, Cambrian Ventures, Cowboy Ventures, Fin Capital, Future\Perfect Ventures, Gaingels, Selah Ventures, Trajectory Ventures, Uncorrelated Ventures, Valor Equity Partners"
Seed Round - Foraged,https://www.crunchbase.com/funding_round/foraged-seed--5ff1b681,Seed,2700000,USD,2700000,2023-07-12,5,2,The marketplace for wild and specialty foods,"Agriculture, AgTech, Food and Beverage, Marketplace, Organic Food","Washington, District of Columbia, United States, North America",,https://foraged.com,Foraged,https://www.crunchbase.com/organization/foraged,"Bessemer Venture Partners, Eric Baker, Harley Finkelstein, Jeremy Stoppelman, Micha Kaufman"
Seed Round - Quobly,https://www.crunchbase.com/funding_round/quobly-seed--e9bf36d9,Seed,19000000,EUR,21167062,2023-07-12,9,1,"Quobly create and market a universal large-scale quantum computer, using tried-and-true semiconductor industry procedures.","Information Technology, Quantum Computing, Semiconductor",,,https://www.quobly.io,Quobly,https://www.crunchbase.com/organization/quobly,"BNP Paribas, Bpifrance, Caisse d'Epargne Rhone Alpes, CEA Investissement, Crédit Agricole Alpes Development, France 2030, Innovacom, Quantonation, Supernova Invest"
Seed Round - Bluesky,https://www.crunchbase.com/funding_round/bluesky-514d-seed--4a389d3f,Seed,8000000,USD,8000000,2023-07-05,16,2,Bluesky is a new social media platform.,"Social Media, Software","Seattle, Washington, United States, North America",,https://blueskyweb.xyz,Bluesky,https://www.crunchbase.com/organization/bluesky-514d,"Abdul Ly, Ali Evans, Amir Shevat, Amjad Masad, Automattic, Bob Young, Brad Fitzpatrick, Heather Meeker, Jeremy Johnson, Joseph Beda, Katelyn Donnelly, Kris Nóva, Neo, Protocol Labs, Sarah Drasner, Stav Erez"
Seed Round - finres,https://www.crunchbase.com/funding_round/finres-d67c-seed--4582a1c3,Seed,4100000,EUR,4515836,2023-07-11,12,1,finres offers a comprehensive algorithmic solution for recognizing and assessing climate risks in order to prioritize adaptation efforts.,"Agriculture, Artificial Intelligence, Big Data, Financial Services","Paris, Ile-de-France, France, Europe",,https://finres.org,finres,https://www.crunchbase.com/organization/finres-d67c,"AFI Ventures, Anna Alex, Better Angle, Illuminate Financial, Kima Ventures, Michaël Diguet, Plug and Play, Raise Sherpas, Renaud Visage, Speedinvest, Tiny VC, Valentine Baudouin Barbelivien"
Seed Round - Equabli,https://www.crunchbase.com/funding_round/equabli-seed--39111bae,Seed,3350000,USD,3350000,2023-07-11,3,2,"Equabli specializes in debt recovery, creditor benefits, compliance, and lifecycle management.","Compliance, Debt Collections, Finance, Financial Services","Austin, Texas, United States, North America",,https://www.equabli.com,Equabli,https://www.crunchbase.com/organization/equabli,"BankTech Ventures, Cross River Digital Ventures, Social Leverage"
Pre Seed Round - Jet HR,https://www.crunchbase.com/funding_round/jet-hr-pre-seed--568e95b9,Pre-Seed,4700000,EUR,5127584,2023-06-26,15,1,We make managing people and payroll incredibly simple,"Human Resources, SaaS","Milan, Lombardia, Italy, Europe",,https://www.jethr.com,Jet HR,https://www.crunchbase.com/organization/jet-hr,"Alberto Dalmasso, Dario Brignone, David Clarke, Diego Piacentini, EXOR N.V., Giorgio Tinacci, Italian Founders Fund, Joe Zadeh, Luca Ascani, Luca Ferrari, Luca Foresti, Matteo Pichi, Max Ciociola, Plug and Play, Ron Pragides"
Pre Seed Round - Jellybean,https://www.crunchbase.com/funding_round/jellybean-pre-seed--ed8ca900,Pre-Seed,350000,USD,350000,2023-07-12,6,1,Jellybean revolutionizes the world of employee benefits by offering a seamless and individualized experience.,"Employee Benefits, Internet","Wilmington, Delaware, United States, North America",,https://www.jellybean.life,Jellybean,https://www.crunchbase.com/organization/jellybean,"Mars Shot Ventures, Paradigm Shift Capital, Saurabh Nigam, Sumant Narayanan, Sunn91 Ventures, Vaibhav Vardhan"
Seed Round - RecruitBot,https://www.crunchbase.com/funding_round/recruitbot-seed--54ced3ff,Seed,8200000,USD,8200000,2023-07-11,5,2,RecruitBot provides recruitment services using big data and machine learning technologies.,"Artificial Intelligence, Big Data, Machine Learning, Recruiting","San Francisco, California, United States, North America",,https://www.recruitbot.com/,RecruitBot,https://www.crunchbase.com/organization/recruitbot,"Freestyle Capital, Kevin Mahaffey, OCA Ventures, Parade Ventures, Slow Ventures"
Seed Round - Hoop Carpool,https://www.crunchbase.com/funding_round/hoop-carpool-seed--339e38df,Seed,1200000,EUR,1321708,2023-07-11,13,4,"Hoop Carpool is a SaaS Carpooling Platform for Companies, Universities and Citi-halls","Car Sharing, Mobile Apps","Madrid, Madrid, Spain, Europe",,https://hoopcarpool.com,Hoop Carpool,https://www.crunchbase.com/organization/hoop-carpool,"4Founders Capital, AXIS, Banco Sabadell, Carles Florensa Torné, David Tomás, Delfí Torns, Fernando Lelo de Larrea, Foreign Education Investment Bank, Juanjo Mostazo, Lanai Partners, Marc Ferran, Nacho Alonso Cembrano, Ship2B Ventures"
