Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - thymia,https://www.crunchbase.com/funding_round/thymia-seed--285c3d4b,Seed,2400000,GBP,3070400,2023-07-27,7,2,Making mental health assessments smart,"Health Care, Software","London, England, United Kingdom, Europe",,https://thymia.ai,thymia,https://www.crunchbase.com/organization/thymia,"Amanda Marie Cardinale, Calm/Storm Ventures, Entrepreneur First, Form Ventures, Kodori AG, Nadav Rosenberg, SyndicateRoom"
Pre Seed Round - Clafiya,https://www.crunchbase.com/funding_round/clafiya-pre-seed--be5935db,Pre-Seed,610000,USD,610000,2023-07-25,8,3,Clafiya connects patients to health practitioners to provide fast and affordable on-demand primary care services in Africa.,"Health Care, Hospital","Lagos, Lagos, Nigeria, Africa",,https://www.clafiya.com/,Clafiya,https://www.crunchbase.com/organization/clafiya,"Acquired Wisdom Fund, Ajim Capital, Bold Angel Fund, HoaQ, Hustle Fund, Microtraction, Norrsken Accelerator, Voltron Capital"
Seed Round - Flash,https://www.crunchbase.com/funding_round/flash-3d86-seed--ba15e0af,Seed,6000000,USD,6000000,2023-07-17,2,1,Flash is a mobile application and financial service company that facilitates digital payments to businesses.,"Financial Services, Mobile Apps, Payments","Cairo, Al Qahirah, Egypt, Africa",,https://www.useflash.app/,Flash,https://www.crunchbase.com/organization/flash-3d86,"Addition, Flourish Ventures"
Pre Seed Round - CapStack,https://www.crunchbase.com/funding_round/capstack-pre-seed--139a81bc,Pre-Seed,6000000,USD,6000000,2023-07-12,10,1,CapStack is a banking system that promotes collaboration among banks and financial services providers to boost asset profitability.,"Banking, Financial Services, FinTech, Information Technology","Miami, Florida, United States, North America",,https://www.capstack.com,CapStack,https://www.crunchbase.com/organization/capstack,"Alloy Labs, Cambrian Ventures, Cowboy Ventures, Fin Capital, Future\Perfect Ventures, Gaingels, Selah Ventures, Trajectory Ventures, Uncorrelated Ventures, Valor Equity Partners"
Seed Round - Factors.AI,https://www.crunchbase.com/funding_round/factors-ai-seed--68cdd0e1,Seed,3600000,USD,3600000,2023-07-18,18,3,Simplifying Marketing Analytics and Decisioning using AI.,"Advertising, Analytics, Software","Stamford, Connecticut, United States, North America",,https://www.factors.ai,Factors.AI,https://www.crunchbase.com/organization/factors-ai,"Arjun Pillai, Aseem Chandra, Deepak Anchala, Elevation Partners, Emergent Ventures, Gurupandian Chandrasekaran, Jen Abel, Justin Lawson, Kannan Surendran, Khadim Batti, Kris Rudeegraap, Krish Mantripragada, Naresh Agarwal, Sanjay Kini, Sanjay Manchanda, Sreedhar Peddineni, Stellaris Venture Partners, Vetri Vellore"
Pre Seed Round - Quench.ai,https://www.crunchbase.com/funding_round/quench-4712-pre-seed--7a96323e,Pre-Seed,4480000,EUR,4956240,2023-07-24,10,2,Bringing just-in-time learning to busy professionals.,"Artificial Intelligence, Content Creators, E-Learning, EdTech, Video","Murrieta, California, United States, North America",,https://qunech.ai,Quench.ai,https://www.crunchbase.com/organization/quench-4712,"Ada Ventures, Antler, BY Venture Partners, Firstminute Capital, IFG Asset Management, Northzone, Notion Capital, Plug and Play, Tuesday Capital, Ventures Together"
Seed Round - Maka Motors,https://www.crunchbase.com/funding_round/maka-motors-seed--7bf03cb0,Seed,37600000,USD,37600000,2023-07-19,13,1,MAKA is dedicated to building the best electric motorcycles for Indonesian riders.,"Automotive, Electric Vehicle, Travel","Yogyakarta, Yogyakarta, Indonesia, Asia",,https://www.maka-motors.com/,Maka Motors,https://www.crunchbase.com/organization/maka-motors,"AlfaCorp, AV Ventures, BEENEXT, East Ventures, Kinesys Group, M Venture Partners (MVP), Northstar Group, Openspace, Peak XV Partners, Provident Capital Partners, Shinhan Venture Investment, Skystar Capital, SV Investment Corp"
Seed Round - Rice Robotics Limited,https://www.crunchbase.com/funding_round/rice-robotics-limited-seed--a5c77a5a,Seed,7000000,USD,7000000,2023-07-17,5,2,Rice Robotics is a pioneer in developing autonomous indoor service robots,,"Hong Kong, Hong Kong Island, Hong Kong, Asia",,https://www.ricerobotics.com/en/,Rice Robotics Limited,https://www.crunchbase.com/organization/rice-robotics-limited,"Alibaba Entrepreneurs Fund, Audacy Ventures, Cyberport Hong Kong, Soul Capital Limited, Sun Hung Kai Properties"
Seed Round - Skillit,https://www.crunchbase.com/funding_round/skillit-e75a-seed--dec76bd3,Seed,8500000,USD,8500000,2023-07-20,3,4,Skillit is a data-driven recruiting platform for skilled full-time construction labor.,"Construction, Human Resources, Recruiting, Software","New York, New York, United States, North America",,https://www.skillit.com,Skillit,https://www.crunchbase.com/organization/skillit-e75a,"Bow Capital, Building Ventures, MetaProp"
Seed Round - ThingTrax,https://www.crunchbase.com/funding_round/thingtrax-seed--9d9d6a83,Seed,4300000,GBP,5535409,2023-07-20,7,5,ThingTrax helps manufacturers reduce downtime and increase operational efficiency with their devices capturing data from machines.,"Cloud Data Services, Information Technology, Internet of Things, SaaS, Software","London, England, United Kingdom, Europe",,http://www.thingtrax.com/,ThingTrax,https://www.crunchbase.com/organization/thingtrax,"Charlie Songhurst, Concentric, Haatch, Portfolio Ventures, Puma Private Equity, SuperSeed Ventures, Vinci Venture Capital"
