Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Mistral AI,https://www.crunchbase.com/funding_round/mistral-ai-seed--904ada2b,Seed,105000000,EUR,113388724,2023-06-13,15,1,Mistral AI is a platform that assembles team to develop the generative AI models.,,"Paris, Ile-de-France, France, Europe",,https://mistral.ai,Mistral AI,https://www.crunchbase.com/organization/mistral-ai,"Bpifrance, Eric Schmidt, Exor, Firstminute Capital, Headline, Index Ventures, JCDecaux Holding SA, La Famiglia, Lightspeed Venture Partners, LocalGlobe, Motier Ventures, Redpoint, Rodolphe Saadé, Sofina, Xavier Niel"
Seed Round - Meanwhile,https://www.crunchbase.com/funding_round/meanwhile-3fc0-seed--35b6a809,Seed,19000000,USD,19000000,2023-06-06,32,1,Meanwhile is a licensed and regulated life insurance business.,"Financial Services, Insurance","Hamilton, Ontario, Canada, North America",,https://meanwhile.bm/,Meanwhile,https://www.crunchbase.com/organization/meanwhile-3fc0,"6th Man Ventures, Aaron Frank, Anand Subramani, Charley Ma, Dan Romero, Dylan Field, Gradient Ventures, HSCM Ventures, Hunter Horsley, Immad Ammad, JD Ross, Jordan Gonen, Karim Atiyeh, Karn Saroya, Lachy Groom, Laura Spiekerman, Lauren Kolodny, Leslie Skrock, Marc Bhargava, Michael Tannenbaum, Mouro Capital, MS&AD Ventures, Nick Skrock, Parker Conrad, Sam Altman, Sam Blond, Sam Hodges, Sean Harper, Socially Financed, Ty Harris, Zach Bruhnke, Zachary Abrams"
Seed Round - Termii,https://www.crunchbase.com/funding_round/termii-networks-seed--59de671b,Seed,3650000,USD,3650000,2023-06-09,17,6,"Termii helps African businesses communicate with customers across SMS, email, voice, and instant messaging channels.","Digital Marketing, Digital Media, Email Marketing, Marketing Automation, Messaging, SMS","New Lagos, Lagos, Nigeria, Africa",,https://termii.com,Termii,https://www.crunchbase.com/organization/termii-networks,"Adamantium Fund, Afropreneur Angels, Aidi Ventures, Assembly Investors, Aubrey Hruby, Eamon Jubbawy, FinTech Collective, Launch Africa, MyAsia VC, Nama Ventures, NOA Capital, Now Venture Partners, Probability Ventures, RaliCap, UNCOVERED FUND, Vastly Valuable Ventures, Ventures Platform"
Seed Round - Payrails,https://www.crunchbase.com/funding_round/payrails-seed--0b3b90f1,Seed,14400000,USD,14400000,2023-06-07,4,2,Payrails enables high-growth companies to craft their payment experiences and financial services globally.,"Developer APIs, Enterprise Software, Financial Services, FinTech, Mobile Payments, Payments","Berlin, Berlin, Germany, Europe",Less than $1M,https://www.payrails.com,Payrails,https://www.crunchbase.com/organization/payrails,"Andreessen Horowitz, EQT Ventures, General Catalyst, HV Capital"
Seed Round - Argus Labs,https://www.crunchbase.com/funding_round/argus-labs-f4d7-seed--c340e567,Seed,10000000,USD,10000000,2023-06-06,12,1,Argus Labs works from first principles to synthesize bleeding-edge applied research with thoughtful game design.,"Blockchain, Gaming, Information Technology, Video Games","San Francisco, California, United States, North America",,https://argus.gg,Argus Labs,https://www.crunchbase.com/organization/argus-labs-f4d7,"Alchemy, Anagram, Balaji Srinivasan, Calvin Liu, Dispersion Capital, Elad Gil, Haun Ventures, Kevin Aluwi, Robot Ventures, Scott Moore, Siqi Chen, Sunny Aggarwal"
Seed Round - Realta Fusion,https://www.crunchbase.com/funding_round/realta-fusion-seed--3d23d5b5,Seed,9000000,USD,9000000,2023-05-31,2,2,Realta Fusion develops fusion energy technology for the production of industrial heat and power.,"Energy, Energy Efficiency, Industrial","Madison, Wisconsin, United States, North America",,https://realtafusion.com/,Realta Fusion,https://www.crunchbase.com/organization/realta-fusion,"Khosla Ventures, Wisconsin Alumni Research Foundation"
Pre Seed Round - Proxima Fusion,https://www.crunchbase.com/funding_round/proxima-fusion-pre-seed--10c072b7,Pre-Seed,7000000,EUR,7512124,2023-05-30,4,1,Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,"Energy, Power Grid","Munich, Bayern, Germany, Europe",,https://www.proximafusion.com/,Proxima Fusion,https://www.crunchbase.com/organization/proxima-fusion,"High-Tech Grunderfonds, Plural Platform, UVC Partners, Wilbe | Home for Scientist Leaders"
Pre Seed Round - CUR8,https://www.crunchbase.com/funding_round/cur8-b259-pre-seed--886839b5,Pre-Seed,5300000,GBP,6578702,2023-05-30,6,1,CUR8 is committed to establishing a global market for carbon reductions.,"Biomass Energy, Environmental Consulting, Natural Resources","London, England, United Kingdom, Europe",,http://cur8.earth,CUR8,https://www.crunchbase.com/organization/cur8-b259,"ANIM, CapitalT, Climate VC, Force Over Mass Capital, Google Ventures, Systema nova"
Seed Round - Contextual AI,https://www.crunchbase.com/funding_round/contextual-ai-seed--ae910292,Seed,20000000,USD,20000000,2023-06-07,12,1,Contextual AI offers a pioneering approach to generative AI for the workplace.,"Artificial Intelligence, Software",,,https://contextual.ai/,Contextual AI,https://www.crunchbase.com/organization/contextual-ai,"Amjad Masad, Bain Capital Ventures, Elad Gil, Fraser Kelton, Greycroft, Harry Stebbings, Lightspeed, Lip-Bu Tan, Nathan Benaich, Sarah Guo, Sarah Niyogi, SVA"
Seed Round - elba,https://www.crunchbase.com/funding_round/elba-fc93-seed--0dd4f54e,Seed,2500000,EUR,2674368,2023-06-06,8,1,Elba is the ultimate experience for securing your team's day-to-day operations.,"Cyber Security, SaaS","Paris, Ile-de-France, France, Europe",,https://www.elba.security/,elba,https://www.crunchbase.com/organization/elba-fc93,"Angel Invest, Eric Fourrier, Jason Chan, Jean-Baptiste Aviat, Kima Ventures, Plug and Play, Uncorrelated Ventures, XAnge"
