Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Certif-ID International GmbH,https://www.crunchbase.com/funding_round/certif-id-international-gbr-seed--332b0320,Seed,1600000,EUR,1747171,2023-04-06,5,2,Certif-ID is a ‘Future of Work’ platform connecting education to technical skills employment.,"Blockchain, Education, Human Resources","Cologne, Nordrhein-Westfalen, Germany, Europe",,https://certif-id.com/,Certif-ID International GmbH,https://www.crunchbase.com/organization/certif-id-international-gbr,"Andreas Weinberger, Jörg Will, Malte Pollmann, Michael Bernhoerster, NRW.BANK"
Seed Round - Squint,https://www.crunchbase.com/funding_round/squint-1e19-seed--553daba9,Seed,6000000,USD,6000000,2023-04-01,2,2,Squint is a developer of manufacturing technology solutions that optimize factories' procedures and workforce.,"Augmented Reality, Manufacturing, Mobile Apps, Software","San Jose, California, United States, North America",,https://www.squint.ai/,Squint,https://www.crunchbase.com/organization/squint-1e19,"Menlo Ventures, Sequoia Capital"
Seed Round - ixamBee,https://www.crunchbase.com/funding_round/ixambee-seed--3128f281,Seed,80000000,INR,973465,2023-03-31,8,5,ixamBee is to provide best online learning experience for preparation of competitive exams.,"E-Learning, Education, Internet","New Delhi, Delhi, India, Asia",,https://www.ixambee.com/,ixamBee,https://www.crunchbase.com/organization/ixambee,"Inflection Point Ventures, Keiretsu Forum, Keyur Joshi, Mukesh Sharma, Mumbai Angels, Narendra Shyamsukha, S.Chand & Company, SAN Angels Network"
Seed Round - PolyTrade,https://www.crunchbase.com/funding_round/polytrade-seed--ce8c6767,Seed,3800000,USD,3800000,2023-03-30,6,3,PolyTrade operates as a blockchain-based trade finance platform.,"Blockchain, Cryptocurrency, Financial Services, FinTech","Singapore, Central Region, Singapore, Asia",,https://polytrade.finance,PolyTrade,https://www.crunchbase.com/organization/polytrade,"Alpha Wave Global, CoinSwitch, GTM Ventures, Matrix Partners India, Polygon Studios, Singularity Ventures"
Seed Round - SureImpact,https://www.crunchbase.com/funding_round/sureimpact-seed--0a0b5071,Seed,2000000,USD,2000000,2023-04-06,2,4,SureImpact connects the social ecosystem with a user-friendly case management platform.,"Cloud Computing, Internet, Social","Powell, Ohio, United States, North America",,https://www.sureimpact.com/,SureImpact,https://www.crunchbase.com/organization/sureimpact,"Queen City Angels, Rev1 Ventures"
Seed Round - Ossus Biorenewables,https://www.crunchbase.com/funding_round/ossus-biorenewables-seed--975835ef,Seed,197000000,INR,2403891,2023-04-05,2,1,Ossus Biorenewables design intelligent electroactive microbial communities.,"Clean Energy, Renewable Energy","Bengaluru, Karnataka, India, Asia",,https://www.ossusbio.com/,Ossus Biorenewables,https://www.crunchbase.com/organization/ossus-biorenewables,"Gruhas Proptech, Rainmatter Foundation"
Seed Round - 8 Myles,https://www.crunchbase.com/funding_round/8-myles-seed--ff906334,Seed,1050000,USD,1050000,2023-04-08,6,2,8 Myles is a comfort food brand that sells frozen macaroni and cheese.,"Food and Beverage, Organic Food, Wholesale","Mclean, Virginia, United States, North America",Less than $1M,https://8myles.com,8 Myles,https://www.crunchbase.com/organization/8-myles,"Andreessen Horowitz, Bronze Valley, Eric Cronert, Kompass Ventures, The Enterprise Center, Virginia Venture Partners"
Seed Round - Finni Health,https://www.crunchbase.com/funding_round/journey-health-7bab-seed--f9e09c5b,Seed,3340000,USD,3340000,2023-04-05,2,2,Finni Health offers behavioral health care services for children.,"Child Care, Children, Health Care","San Francisco, California, United States, North America",,https://www.finnihealth.com/,Finni Health,https://www.crunchbase.com/organization/journey-health-7bab,"General Catalyst, Y Combinator"
Seed Round - GK Healthcare,https://www.crunchbase.com/funding_round/gk-healthcare-seed--1aed30d7,Seed,,,,2023-04-04,2,1,GK Healthcare provides intelligent medical imaging diagnosis and treatment solutions .,"Health Care, Health Diagnostics, Medical","Suzhou, Jiangsu, China, Asia",,http://www.gkkc-health.com,GK Healthcare,https://www.crunchbase.com/organization/gk-healthcare,"SND Ventures Group, Suzhou Agricultural Development"
Seed Round - Payday,https://www.crunchbase.com/funding_round/payday-a096-seed--0d423c74,Seed,3000000,USD,3000000,2023-03-29,14,4,Payday is a fintech platform that offers global payment solutions such as virtual mastercards and foreign employee payments.,"Finance, Financial Services, FinTech, Payments","Vancouver, British Columbia, Canada, North America",,https://usepayday.com/,Payday,https://www.crunchbase.com/organization/payday-a096,"Angels Touch, Dare Okoudjou, DFS Lab, Ethos VC, HoaQ, Ingressive Capital, MAGIC Fund, Moniepoint, Now Venture Partners, TeamApt, Techstars, Tola Onayemi, Ventures Platform, Voltron Capital"
Pre Seed Round - Dew Drops,https://www.crunchbase.com/funding_round/dew-drops-pre-seed--35227582,Pre-Seed,1500000,USD,1500000,2023-04-06,3,1,Dew Drops is a platform for artists and creators to sell their animated artworks to collectors via text messages.,,,,https://www.dewdrops.co/,Dew Drops,https://www.crunchbase.com/organization/dew-drops,"Dream Ventures, Ruttenberg Gordon Investments, Slow Ventures"
Seed Round - Finverity,https://www.crunchbase.com/funding_round/finverity-seed--ee01df18,Seed,5000000,USD,5000000,2023-03-30,4,5,Finverity provides a supply chain finance platform for mid-market companies.,"Enterprise Software, Finance, Financial Services, FinTech","London, England, United Kingdom, Europe",,http://www.Finverity.com,Finverity,https://www.crunchbase.com/organization/finverity,"Acrobator Ventures | Acrobator.vc, B&Y Venture Partners, Outward VC, s16vc"
Seed Round - Luca,https://www.crunchbase.com/funding_round/luca-d9f8-seed--77121877,Seed,2500000,USD,2500000,2023-04-06,4,1,The pricing co-pilot for your retail business.,"Artificial Intelligence, Retail Technology","San Francisco, California, United States, North America",,https://www.askluca.com/,Luca,https://www.crunchbase.com/organization/luca-d9f8,"Menlo Ventures, Moving Capital, Soma Capital, Y Combinator"
Seed Round - Shuttlers,https://www.crunchbase.com/funding_round/shuttlers-seed--9d23f85b,Seed,4000000,USD,4000000,2023-04-04,5,3,Shuttlers is a platform that offers mobility solutions by providing scheduled bus-sharing services for the professionals within the region.,"Information Technology, Ride Sharing, Transportation","Lagos, Lagos, Nigeria, Africa",$1M to $10M,https://shuttlers.ng,Shuttlers,https://www.crunchbase.com/organization/shuttlers,"CMC 21 & Alsa, EchoVC Partners, ShEquity, Verod-Kepple Africa Ventures, VestedWorld"
Seed Round - Imagia,https://www.crunchbase.com/funding_round/imagia-187a-seed--7e5c08f3,Seed,4500000,USD,4500000,2023-04-07,2,1,Imagia designs and manufactures optical lenses based on metamaterial principles.,Manufacturing,"San Francisco, California, United States, North America",,https://www.imagia.io/,Imagia,https://www.crunchbase.com/organization/imagia-187a,"Gates Frontier fund, MetaVC Partners"
Seed Round - Tally Health,https://www.crunchbase.com/funding_round/tally-health-seed--964fd2f2,Seed,10000000,USD,10000000,2023-04-06,12,1,Tally Health™ is a biotechnology company founded to change the way we age. Co-founded by longevity expert Dr. David Sinclair.,Biotechnology,"New York, New York, United States, North America",,https://www.tallyhealth.com,Tally Health,https://www.crunchbase.com/organization/tally-health,"Chrissy Teigen, Forerunner Ventures, G9 Ventures, John Legend, Kevin Hart, L Catterton, Pedro Pascal, Rich Roll, Second Sight Ventures, Shonda Rhimes, Whitney Cummings, Zac Efron"
Seed Round - Type One Energy,https://www.crunchbase.com/funding_round/type-one-energy-seed--8c6d8440,Seed,29000000,USD,29000000,2023-03-28,10,1,Type One Energy is a high-temperature superconducting stellarator magnet with additive manufactured assemblies.,"Clean Energy, Electrical Distribution, Energy, Energy Management","Middleton, Wisconsin, United States, North America",,https://www.typeoneenergy.com,Type One Energy,https://www.crunchbase.com/organization/type-one-energy,"Breakthrough Energy Ventures, Darco Capital, Doral Energy-Tech Ventures, Grantham Foundation, MILFAM, Orbia Ventures, Shorewind Capital, TDK Ventures, TRIREC, VAHOCA"
Seed Round - Aqua Cultured Foods,https://www.crunchbase.com/funding_round/aquacultured-foods-seed--2abebbd6,Seed,5500000,USD,5500000,2023-04-06,11,3,AquaCultured Foods develops a novel new tech that creates an alternative seafood option through the use of microbial fermentation.,"AgTech, Biotechnology, Food Processing, Seafood, Sustainability","Chicago, Illinois, United States, North America",,https://www.aquaculturedfoods.com,Aqua Cultured Foods,https://www.crunchbase.com/organization/aquacultured-foods,"Aera VC, Amplifica Capital, Aztec Capital, Big Idea Ventures, CJ CheilJedang Corp., H Venture Partners, Hyde Park Angels, Kingfisher Capital LLC, Stray Dog Capital, Supply Change Capital, Swiss Pampa"
