Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - GenWise,https://www.crunchbase.com/funding_round/genwise-e0c7-seed--c99b4a0a,Seed,3500000,USD,3500000,2023-04-12,6,1,"GenWise provides a dependable companion to seniors, even in the absence of their younger family members.",Family,"Delhi, Delhi, India, Asia",,https://www.genwise.club/,GenWise,https://www.crunchbase.com/organization/genwise-e0c7,"Achal Mittal, Climber Capital, DBR Ventures, Kunal Shah, Matrix Partners India, Suhail Sameer"
Seed Round - Certif-ID International GmbH,https://www.crunchbase.com/funding_round/certif-id-international-gbr-seed--332b0320,Seed,1600000,EUR,1747171,2023-04-06,5,2,Certif-ID is a ‘Future of Work’ platform connecting education to technical skills employment.,"Blockchain, Education, Human Resources","Cologne, Nordrhein-Westfalen, Germany, Europe",,https://certif-id.com/,Certif-ID International GmbH,https://www.crunchbase.com/organization/certif-id-international-gbr,"Andreas Weinberger, Jörg Will, Malte Pollmann, Michael Bernhoerster, NRW.BANK"
Seed Round - GoodShip,https://www.crunchbase.com/funding_round/goodship-seed--0022528b,Seed,5000000,USD,5000000,2023-04-14,4,2,GoodShip offers a cloud-based platform for collaboration that automates labor-intensive procurement processes.,,"Nashville, Tennessee, United States, North America",,https://goodship.io,GoodShip,https://www.crunchbase.com/organization/goodship,"Cercano Management, Chicago Ventures, FUSE, Ironspring"
Seed Round - Cubo,https://www.crunchbase.com/funding_round/cubo-b4d7-seed--7857d086,Seed,3500000,USD,3500000,2023-04-21,6,3,"Cubo is a financial solutions company that offers payment applications, POS, and card payment services.","Financial Services, Mobile Apps, Mobile Payments, Payments, Point of Sale","San Salvador, San Salvador, El Salvador, North America",,https://www.cubopago.com,Cubo,https://www.crunchbase.com/organization/cubo-b4d7,"Amador Holdings, IDB Lab, Latin Leap, Seedstars, Simma Capital, Soma Capital"
Pre Seed Round - Masthead,https://www.crunchbase.com/funding_round/masthead-9174-pre-seed--46bd6615,Pre-Seed,1300000,USD,1300000,2023-04-14,5,1,Masthead is an anomaly-detecting no-code data monitoring tool.,"Analytics, Cloud Data Services, Productivity Tools, SaaS","Toronto, Ontario, Canada, North America",,https://mastheadata.com,Masthead,https://www.crunchbase.com/organization/masthead-9174,"Alchemist Accelerator, DEPO Ventures, focal, Monochrome Capital, SMOK Ventures"
Seed Round - EVEN,https://www.crunchbase.com/funding_round/even-5b71-seed--ca29d128,Seed,2200000,USD,2200000,2023-04-14,8,1,Empowering artists & fans to invest in each other.,"Blockchain, Music","Milwaukee, Wisconsin, United States, North America",,https://www.even.biz,EVEN,https://www.crunchbase.com/organization/even-5b71,"Adie Akuffo Afful, CSA Partners LLC, Daniel Rotman, Donte Murry, gANGELS, gener8tor, Ogo .., VC414"
Seed Round - SureImpact,https://www.crunchbase.com/funding_round/sureimpact-seed--0a0b5071,Seed,2000000,USD,2000000,2023-04-06,2,4,SureImpact connects the social ecosystem with a user-friendly case management platform.,"Cloud Computing, Internet, Social","Powell, Ohio, United States, North America",,https://www.sureimpact.com/,SureImpact,https://www.crunchbase.com/organization/sureimpact,"Queen City Angels, Rev1 Ventures"
Seed Round - Ossus Biorenewables,https://www.crunchbase.com/funding_round/ossus-biorenewables-seed--975835ef,Seed,197000000,INR,2403891,2023-04-05,2,1,Ossus Biorenewables design intelligent electroactive microbial communities.,"Clean Energy, Renewable Energy","Bengaluru, Karnataka, India, Asia",,https://www.ossusbio.com/,Ossus Biorenewables,https://www.crunchbase.com/organization/ossus-biorenewables,"Gruhas Proptech, Rainmatter Foundation"
Pre Seed Round - Docspe,https://www.crunchbase.com/funding_round/docspe-pre-seed--3a50cf2f,Pre-Seed,453000,MYR,102257,2023-04-19,1,1,"EHR, SaaS, Telehealth Platform","Electronic Health Record (EHR), SaaS, Software","Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",,https://www.docspe.my,Docspe,https://www.crunchbase.com/organization/docspe,ScaleUp Malaysia
Seed Round - 8 Myles,https://www.crunchbase.com/funding_round/8-myles-seed--ff906334,Seed,1050000,USD,1050000,2023-04-08,6,2,8 Myles is a comfort food brand that sells frozen macaroni and cheese.,"Food and Beverage, Organic Food, Wholesale","Mclean, Virginia, United States, North America",Less than $1M,https://8myles.com,8 Myles,https://www.crunchbase.com/organization/8-myles,"Andreessen Horowitz, Bronze Valley, Eric Cronert, Kompass Ventures, The Enterprise Center, Virginia Venture Partners"
Seed Round - BioMed Technology Holdings,https://www.crunchbase.com/funding_round/biomed-technology-holdings-seed--e6db1dee,Seed,2000000,USD,2000000,2023-04-20,3,1,BioMed offer a comprehensive service that includes a range of sophisticated tests performed by professionals.,"Biotechnology, Hospitality, Market Research, Medical","Causeway Bay, Hong Kong Island, Hong Kong, Asia",,https://biomed.hk/en,BioMed Technology Holdings,https://www.crunchbase.com/organization/biomed-technology-holdings,"Alibaba Entrepreneurs Fund, Gobi Partners GBA, The International Medical"
Seed Round - Stack Identity,https://www.crunchbase.com/funding_round/stack-identity-seed--08841ea3,Seed,4000000,USD,4000000,2023-04-24,3,2,"Stack Identity transforms cloud IAM operations to secure cloud data, applications and software","Cloud Management, Cloud Security, Cyber Security, Identity Management","Menlo Park, California, United States, North America",,https://stackidentity.com,Stack Identity,https://www.crunchbase.com/organization/stack-identity,"Benhamou Global Ventures, Plug and Play, WestWave Capital"
Seed Round - Odimma,https://www.crunchbase.com/funding_round/odimma-seed--b66f8c1d,Seed,2000000,USD,2000000,2023-04-13,4,1,Odimma is a biotech company that focuses on precision medicine and cure for personalized cancer immunotherapy.,"Biotechnology, Health Care, Life Science, Therapeutics","Illkirch-graffenstaden, Alsace, France, Europe",Less than $1M,http://www.odimma-therapeutics.com/,Odimma,https://www.crunchbase.com/organization/odimma,"Alsace Business Angels, Angels Santé, Bpifrance, Capital Grand Est"
Seed Round - CulturePulse,https://www.crunchbase.com/funding_round/culturepulse-seed--f94c476c,Seed,1000000,USD,1000000,2023-04-20,1,1,CulturePulse assists firms in communicating with potential customers in a tone that is less likely to elicit a negative reaction.,"Analytics, Artificial Intelligence, Marketing","Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",,https://www.culturepulse.ai,CulturePulse,https://www.crunchbase.com/organization/culturepulse,Zero Gravity Capital
Seed Round - Autonomize AI,https://www.crunchbase.com/funding_round/autonomize-ai-seed--d5afb3d4,Seed,4000000,USD,4000000,2023-04-10,4,1,Autonomize AI is a human-centric AI platform that uses multi-structured clinical and biomedical data combined with human context.,"Artificial Intelligence, Health Care, Information Technology","Austin, Texas, United States, North America",,https://www.autonomize.ai/,Autonomize AI,https://www.crunchbase.com/organization/autonomize-ai,"Asset Management Ventures (AMV), ATX Venture Partners, Loop Ventures, Next Practices Group"
Seed Round - Finni Health,https://www.crunchbase.com/funding_round/journey-health-7bab-seed--f9e09c5b,Seed,3340000,USD,3340000,2023-04-05,2,2,Finni Health offers behavioral health care services for children.,"Child Care, Children, Health Care","San Francisco, California, United States, North America",,https://www.finnihealth.com/,Finni Health,https://www.crunchbase.com/organization/journey-health-7bab,"General Catalyst, Y Combinator"
Seed Round - GK Healthcare,https://www.crunchbase.com/funding_round/gk-healthcare-seed--1aed30d7,Seed,,,,2023-04-04,2,1,GK Healthcare provides intelligent medical imaging diagnosis and treatment solutions .,"Health Care, Health Diagnostics, Medical","Suzhou, Jiangsu, China, Asia",,http://www.gkkc-health.com,GK Healthcare,https://www.crunchbase.com/organization/gk-healthcare,"SND Ventures Group, Suzhou Agricultural Development"
Seed Round - Teahouse Finance,https://www.crunchbase.com/funding_round/teahouse-finance-seed--f719248e,Seed,5000000,USD,5000000,2023-04-24,23,1,"Complete DeFi + NFT + GameFi ecosystem, powered by expert blockchain technology","Blockchain, Consulting, Cryptocurrency, Trading Platform","Taipei, T'ai-pei, Taiwan, Asia",,https://teahouse.finance/,Teahouse Finance,https://www.crunchbase.com/organization/teahouse-finance,"Alves Ventures, AngelDAO, AppWorks, Avalanche Asia Star Fund, CMS Holdings, Darryl Wang, DeFiance Capital, Derek Lin, Divergence Ventures, Double Peak Group, DWeb3 Capital, Evernew Capital, Jack Herrick, Mindfulness Capital, Momentum 6, NGC Ventures, Nima Capital, Pantera Capital, Perpetual Protocol, Spark Digital Capital, Triblock, TsingTing Capital, Zee Prime Capital"
Pre Seed Round - Qiti,https://www.crunchbase.com/funding_round/qiti-pre-seed--a3239726,Pre-Seed,1900000,EUR,2100916,2023-04-24,,2,Qiti is developing an artificial intelligence capable of choosing the insurance contract to best protect an expatriate.,InsurTech,"Nice, Provence-Alpes-Cote d'Azur, France, Europe",,https://Qiti.eu,Qiti,https://www.crunchbase.com/organization/qiti,
