Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Firmbase,https://www.crunchbase.com/funding_round/firmbase-seed--656b5783,Seed,12000000,USD,12000000,2023-05-09,11,2,The modern financial planning and analysis platform.,"Analytics, Finance, Financial Services, Software","Tel Aviv, Tel Aviv, Israel, Asia",,https://www.firmbase.io/,Firmbase,https://www.crunchbase.com/organization/firmbase,"Charlie Songhurst, Danny Grander, Haim Sadger, Matias Ventures, Meron Capital, Ofir Ehrlich, Omer Kaplan, Or Offer, S Capital, Shmil Levy, Talmon Marco"
Seed Round - ThreatFabric,https://www.crunchbase.com/funding_round/threatfabric-seed--553e807a,Seed,11500000,EUR,12548968,2023-05-11,4,1,ThreatFabric provides banks with the expertise and tools to detect known and unknown threats.,"Cyber Security, Fraud Detection, Information Technology, Risk Management","Amsterdam, Noord-Holland, The Netherlands, Europe",,https://www.threatfabric.com/,ThreatFabric,https://www.crunchbase.com/organization/threatfabric,"10x Founders, 14Peaks Capital, ABN AMRO Ventures, Motive Ventures"
Seed Round - Jia,https://www.crunchbase.com/funding_round/jia-88c6-seed--b799e93d,Seed,4300000,USD,4300000,2023-04-26,16,1,Jia provides blockchain-based financing to businesses in emerging markets and delivers returns on real-world assets to investors.,"Banking, Blockchain, Cryptocurrency, Emerging Markets, Finance, Financial Services, FinTech, Lending","Los Angeles, California, United States, North America",,http://jia.xyz,Jia,https://www.crunchbase.com/organization/jia-88c6,"Avi Zurlo, Awesome People Ventures, BlockTower Capital, Canonical Crypto, Compa Capital, Draft Ventures, Flori Ventures, Global Coin Research, Hashed Emergent, Jared Hecht, Kinjal Shah, Not Boring Capital, Rory Eakin, Saison Capital, Spice Capital, TCG Crypto"
Seed Round - Doublepoint,https://www.crunchbase.com/funding_round/doublepoint-e8de-seed--827c50f8,Seed,3000000,EUR,3294878,2023-05-10,6,1,"Doublepoint is a touch interface company. We enable intuitive, robust, and versatile touch-based interactions.","Artificial Intelligence, Software, Wearables","Helsinki, Southern Finland, Finland, Europe",,https://www.doublepoint.com/,Doublepoint,https://www.crunchbase.com/organization/doublepoint-e8de,"Business Finland, FOV Ventures, Sune Alstrup, Superangel, Superhero Capital, Timo Rein"
Seed Round - Salsa,https://www.crunchbase.com/funding_round/salsa-e395-seed--b39d960e,Seed,10000000,USD,10000000,2023-05-10,14,2,Salsa offers a payroll infrastructure platform that allows businesses to lauch embedded payroll products quickly and efficiently.,"Developer APIs, Embedded Software, FinTech, Software","San Francisco, California, United States, North America",,https://www.salsa.dev,Salsa,https://www.crunchbase.com/organization/salsa-e395,"Alex Alpert, Avlok Kohli, Better Tomorrow Ventures, Daniel Simon, Definition, Forum Ventures, Greycroft, Jess Mah, Kerry Wang, Mengxi Lu, Oz Alon, Rex Salisbury, Roger Lee, Russ Heddleston"
Seed Round - Sticky,https://www.crunchbase.com/funding_round/sticky-6aa6-seed--6f20abbe,Seed,1500000,GBP,1867799,2023-05-12,3,2,"Sticky is a developer that works with leisure, events, and retail brands to streamline payment transactions in under 10 seconds.","Hospitality, NFC, Retail Technology, Software","Manchester, Manchester, United Kingdom, Europe",,https://sticky.to,Sticky,https://www.crunchbase.com/organization/sticky-6aa6,"Cornerstone VC, Praetura Ventures, SFC Capital"
Seed Round - Antimetal,https://www.crunchbase.com/funding_round/antimetal-seed--bbb57e6a,Seed,4300000,USD,4300000,2023-05-08,10,1,Antimetal is a cloud cost optimization platform provider that helps businesses maximize savings while minimizing underutilization concerns.,"Cloud Infrastructure, Cloud Management, Developer Tools, SaaS","New York, New York, United States, North America",,https://www.antimetal.com,Antimetal,https://www.crunchbase.com/organization/antimetal,"Alchemy Ventures, Builder Capital, Chapter One Ventures, Framework Ventures, IDEO CoLab Ventures, Jai Bhavnani, Kelvin Fichter,, Louis Guthmann, Polygon Ventures, Sunil Srivatsa"
Seed Round - Optery,https://www.crunchbase.com/funding_round/optery-seed--3ab7a5ef,Seed,2700000,USD,2700000,2023-05-08,7,2,"Optery is an opt-out software that removes your home address, phone number, email, and other private information from the Internet.","Cyber Security, Identity Management, Privacy, Security, Software","Clayton, California, United States, North America",,https://www.optery.com,Optery,https://www.crunchbase.com/organization/optery,"Bayhouse Capital, Global Founders Capital, Goodwater Capital, Pioneer Fund, Soma Capital, TRAC, Y Combinator"
Seed Round - Integrated Projects,https://www.crunchbase.com/funding_round/integrated-projects-seed--c9e650e9,Seed,3000000,USD,3000000,2023-05-09,8,2,Integrated Projects is a spatial intelligence company focused on the digitization of the built environment.,"Analytics, Information Technology","New York, New York, United States, North America",,https://www.integrated-projects.com/,Integrated Projects,https://www.crunchbase.com/organization/integrated-projects,"186 Ventures, Atlantic Management, Connexa Capital, Founder Collective, Four Acres Capital, Kevin Alvarez Fung, Newmark, The Fallon Company"
Seed Round - PermitFlow,https://www.crunchbase.com/funding_round/permitflow-seed--bc1c875c,Seed,5500000,USD,5500000,2023-05-08,9,2,PermitFlow is a construction permit application and management platform for developers and general contractors.,"Apps, Construction, Software","San Francisco, California, United States, North America",,https://www.permitflow.com,PermitFlow,https://www.crunchbase.com/organization/permitflow,"Davidovs Venture Collective (DVC), Foundamental, Initialized Capital, Mighty Buildings, OpenDoor Venture Capital, PlanGrid, Procore, Thumbtack, Zillow"
