Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Pre Seed Round - Hard Hat Real Estate,https://www.crunchbase.com/funding_round/hard-hat-real-estate-pre-seed--167e0675,Pre-Seed,,,,2023-06-03,,1,Real Estate Firm,"Financial Services, Real Estate, Software","San Antonio, Texas, United States, North America",,https://hardhatrealestate.com,Hard Hat Real Estate,https://www.crunchbase.com/organization/hard-hat-real-estate
Pre Seed Round - Lightbringer,https://www.crunchbase.com/funding_round/lightbringer-pre-seed--46912964,Pre-Seed,2100000,SEK,193565,2023-06-05,,1,"Generative AI technology company offering tools for preparing patent applications more quickly, more easily, and with incredible quality","Intellectual Property, Legal Tech, SaaS","Lund, Skane Lan, Sweden, Europe",,https://www.lightbringer.ai,Lightbringer,https://www.crunchbase.com/organization/lightbringer
Pre Seed Round - Karggu,https://www.crunchbase.com/funding_round/karggu-pre-seed--a08a6ab8,Pre-Seed,,,,2023-06-01,,1,SaaS platform to digitalize the independent cargo industry in Latam.,"E-Commerce, Logistics, SaaS, Software","Puebla De Zaragoza, Puebla, Mexico, North America",,https://karggu.com,Karggu,https://www.crunchbase.com/organization/karggu
Pre Seed Round - toTable,https://www.crunchbase.com/funding_round/totable-pre-seed--f1b7dad0,Pre-Seed,,,,2023-07-01,,1,toTable provides a household meal planning solution to proactively prevent food waste for consumers and grocers.,"Consumer, Consumer Software, Enterprise Software, Nutrition, Software, Sustainability","London, England, United Kingdom, Europe",,https://totable.io,toTable,https://www.crunchbase.com/organization/totable
Seed Round - Eagle Investors,https://www.crunchbase.com/funding_round/eagle-investors-seed--d4a7d562,Seed,,,,2023-06-01,,1,Eagle Investors is a fintech investment advisory company.,"Finance, Financial Services, FinTech, Software, Trading Platform","Bloomington, Indiana, United States, North America",,https://eagle-investors.com,Eagle Investors,https://www.crunchbase.com/organization/eagle-investors
Seed Round - Batech,https://www.crunchbase.com/funding_round/batech-seed--a7fdeda9,Seed,,,,2023-06-15,,1,Batech is an artificial business intelligence firm that focuses on technical solutions that provide value to businesses.,"Logistics, Public Transportation, Security, Software, Supply Chain Management","Querétaro, Queretaro de Arteaga, Mexico, North America",,https://batech.mx,Batech,https://www.crunchbase.com/organization/batech
Pre Seed Round - CONVOCHAT,https://www.crunchbase.com/funding_round/convochat-pre-seed--4efe385f,Pre-Seed,,,,2023-05-25,,1,Convochat is an AI social networking platform bringing people together to create and search the world.,"Artificial Intelligence, Content Creators, Information Technology, Mobile Apps, News, Search Engine, Social Media, Social Network","New York, New York, United States, North America",,http://Convochat.com,CONVOCHAT,https://www.crunchbase.com/organization/convochat
Seed Round - Ping- Location Social Media,https://www.crunchbase.com/funding_round/ping-location-social-media-seed--9d8177da,Seed,,,,2023-05-31,,1,"Networking app that identify's you and your surroundings in ""real time"" with people around you and more..",Information Technology,"Hartford, Connecticut, United States, North America",,https://www.ping-app.com,Ping- Location Social Media,https://www.crunchbase.com/organization/ping-location-social-media
Seed Round - Hurthado,https://www.crunchbase.com/funding_round/hurthado-seed--fba0d227,Seed,,,,2023-06-02,,1,Hurthado is a Made-to-Order clothing brand. All clothes are designed and handmade on demand.,"E-Commerce, Fashion","Madrid, Madrid, Spain, Europe",,http://www.hurthado.com,Hurthado,https://www.crunchbase.com/organization/hurthado
Pre Seed Round - Firmamen,https://www.crunchbase.com/funding_round/firmamen-pre-seed--5f00c6e7,Pre-Seed,,,,2023-06-01,,1,A platform that empowers IT teams to efficiently manage devices and streamline the automation process with help of AI.,,"San Francisco, California, United States, North America",,https://firmamen.com/,Firmamen,https://www.crunchbase.com/organization/firmamen
Seed Round - ConsidraCare,https://www.crunchbase.com/funding_round/considracare-seed--721b248c,Seed,150000,CAD,109929,2023-05-31,,2,"Senior care, Eldercare, Caregivers, Aging at Home, Agetech, Silvertech","Elder Care, Elderly, Health Care, Home Health Care","Brampton, Ontario, Canada, North America",,https://www.considracare.com/,ConsidraCare,https://www.crunchbase.com/organization/considracare
Seed Round - Strayer Watches,https://www.crunchbase.com/funding_round/strayer-watches-seed--8de987d1,Seed,100000,EUR,107231,2023-05-30,,1,"Premium Swedish designed, Swiss made watches with patented innovative interchangeability and individuality.",,"Stockholm, Stockholms Lan, Sweden, Europe",,https://strayerwatches.com ,Strayer Watches,https://www.crunchbase.com/organization/strayer-watches
Seed Round - natif.,https://www.crunchbase.com/funding_round/natif-seed--ab1e0316,Seed,100000,EUR,106870,2023-05-30,,1,Corporate audio platform (Saas),Podcast,"Tourcoing, Nord-Pas-de-Calais, France, Europe",,https://www.natif.io/,natif.,https://www.crunchbase.com/organization/natif
Pre Seed Round - Sooner Or Lady,https://www.crunchbase.com/funding_round/sooner-or-lady-pre-seed--d951299a,Pre-Seed,,,,2023-05-29,,1,"Sooner or Lady, is a multimedia production company that operates as both a film production company and a record label.","Film Production, Media and Entertainment, TV Production","Los Angeles, California, United States, North America",,https://soonerorlady.com,Sooner Or Lady,https://www.crunchbase.com/organization/sooner-or-lady
Pre Seed Round - AI Cosmos Studios,https://www.crunchbase.com/funding_round/ai-cosmos-studios-pre-seed--d0f0a9c9,Pre-Seed,,,,2023-05-26,,1,"AI-driven platform for user-created, personalized entertainment content","Content Creators, Digital Entertainment, Digital Media, Media and Entertainment, SaaS","Godalming, Surrey, United Kingdom, Europe",,https://www.aicosmosstudios.com/,AI Cosmos Studios,https://www.crunchbase.com/organization/ai-cosmos-studios
Seed Round - Soundoshi,https://www.crunchbase.com/funding_round/soundoshi-seed--e9e1b890,Seed,,,,2023-06-01,,2,"Soundoshi is a new music format, streaming service and SaaS infrastructure for music labels and distributors","Blockchain, Independent Music, Music, Music Streaming, SaaS, Software","London, England, United Kingdom, Europe",,https://www.soundoshi.com/,Soundoshi,https://www.crunchbase.com/organization/soundoshi
Seed Round - Prim6,https://www.crunchbase.com/funding_round/prim6-seed--7b8fc3d9,Seed,250000,USD,250000,2023-05-24,1,2,Multi-Functional Technologies,"Artificial Intelligence, Enterprise Software, Information Technology","Indianapolis, Indiana, United States, North America",,https://prim6llc.com,Prim6,https://www.crunchbase.com/organization/prim6
Pre Seed Round - Fieldhouse,https://www.crunchbase.com/funding_round/fieldhouse-cf20-pre-seed--2cd7984b,Pre-Seed,,,,2023-06-01,,2,"SaaS, Sportstech, Data Analytics, AI, Consumer Health,","Analytics, B2B, Consumer Software, Machine Learning, Sports","New York, New York, United States, North America",,https://www.fieldhouse.app/,Fieldhouse,https://www.crunchbase.com/organization/fieldhouse-cf20
Seed Round - Nugget,https://www.crunchbase.com/funding_round/nugget-d974-seed--27d4c332,Seed,,,,2023-06-01,,3,Building a new product in the cannabis tech industry,"Cannabis, Software","Toronto, Ontario, Canada, North America",,https://www.nuggetdata.net,Nugget,https://www.crunchbase.com/organization/nugget-d974
Pre Seed Round - Plaeto,https://www.crunchbase.com/funding_round/plaeto-40dc-pre-seed--aa7bdd62,Pre-Seed,31000,EUR,33180,2023-06-01,,1,"Plaeto is a multi-purpose mobile app that offers reservation, ordering and payment in one place.","Mobile Apps, Restaurants, Software","Bucharest, Bucuresti, Romania, Europe",,https://plaeto.io,Plaeto,https://www.crunchbase.com/organization/plaeto-40dc
Pre Seed Round - Proxxy,https://www.crunchbase.com/funding_round/proxxy-ai-pre-seed--87d77d47,Pre-Seed,500000,USD,500000,2023-05-26,0,2,Enabling contractors to go green,GreenTech,"Provo, Utah, United States, North America",,https://proxxy.ai,Proxxy,https://www.crunchbase.com/organization/proxxy-ai
Pre Seed Round - Vidioo Media Group,https://www.crunchbase.com/funding_round/vidioo-media-group-pre-seed--8267e46f,Pre-Seed,,,,2023-06-01,,1,Software Development Agency,"Advertising, Financial Services, FinTech, iOS, SaaS, Software","New York, New York, United States, North America",,https://www.vidioomediagroup.com,Vidioo Media Group,https://www.crunchbase.com/organization/vidioo-media-group
Seed Round - Wingwomen,https://www.crunchbase.com/funding_round/wingwomen-seed--4317d8c4,Seed,150000,USD,150000,2023-05-23,,2,Wingwomen provides access to reproductive healthcare for medically underserved women in underrepresented patient populations.,"Health Care, Wellness, Women's","Boston, Massachusetts, United States, North America",,https://www.mywingwomen.com/,Wingwomen,https://www.crunchbase.com/organization/wingwomen
Seed Round - TAAT,https://www.crunchbase.com/funding_round/taat-seed--6f22b574,Seed,126822,EUR,136405,2023-05-24,,1,Customized cosmetic product on the basis of multispectral analysis.,"Advertising, B2B, Consulting, E-Commerce, Health Care, Information Technology, Internet, Manufacturing, Mobile Apps, Software","Lubien Kujawski, Kujawsko-Pomorskie, Poland, Europe",,https://info508380.wixsite.com/taat,TAAT,https://www.crunchbase.com/organization/taat
Seed Round - BellUp,https://www.crunchbase.com/funding_round/bellup-seed--3ac3cf1b,Seed,,,,2023-05-24,,1,On a mission to change the way people look at work and support them in AI era,,"Tel Aviv, Tel Aviv, Israel, Asia",,https://bellup.app/,BellUp,https://www.crunchbase.com/organization/bellup
Seed Round - MamZero AI,https://www.crunchbase.com/funding_round/mamzero-ai-seed--493ad77b,Seed,10000,USD,10000,2023-05-23,,1,AI-based KYC/KYB as a Service built for MENA,"Artificial Intelligence, Big Data, Software",,,,MamZero AI,https://www.crunchbase.com/organization/mamzero-ai
Seed Round - Goldsainte,https://www.crunchbase.com/funding_round/goldsainte-seed--6407aeb5,Seed,,,,2023-06-23,,2,"Luxury membership ride share app that exclusively uses only company owned Bentley, Rolls Royce and Maybach as ride share vehicles.","Car Sharing, Hospitality, Ride Sharing, Transportation, Travel","Charlotte, North Carolina, United States, North America",,https://goldsainte.com,Goldsainte,https://www.crunchbase.com/organization/goldsainte
Seed Round - UV,https://www.crunchbase.com/funding_round/uv-energy-seed--b8b353bd,Seed,,,,2023-05-23,,1,Creating the worlds most rapidly built virtual solar power plant,"Clean Energy, Manufacturing, Power Grid, Renewable Energy, Solar","Holzgerlingen, Baden-Wurttemberg, Germany, Europe",,https://www.uvenergy.de,UV,https://www.crunchbase.com/organization/uv-energy
Pre Seed Round - Company Rock,https://www.crunchbase.com/funding_round/company-rock-pre-seed--ae9889d4,Pre-Seed,500000,USD,500000,2023-06-06,,1,A rock-solid foundation toolkit for starting and growing your company.,"FinTech, Information Technology, Legal Tech","San Francisco, California, United States, North America",,https://companyrock.com,Company Rock,https://www.crunchbase.com/organization/company-rock
Pre Seed Round - KiselPR,https://www.crunchbase.com/funding_round/kiselpr-pre-seed--26b214ed,Pre-Seed,,,,2023-05-23,,1,KiselPR marketplace. Breaking the stereotypes of the entire advertising industry.,"Advertising Platforms, Marketplace, Public Relations, Sales Automation, Social Media Advertising, Social Media Marketing","Delaware, Ohio, United States, North America",,http://kiselpr.com,KiselPR,https://www.crunchbase.com/organization/kiselpr
Pre Seed Round - Vucar,https://www.crunchbase.com/funding_round/vucar-pre-seed--a82a5d14,Pre-Seed,100000,USD,100000,2023-05-20,,3,Vucar.vn is a buyer-focused online used car consignment platform.,"Automotive, E-Commerce, E-Commerce Platforms, Marketplace","Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",,https://www.vucar.vn/vi/,Vucar,https://www.crunchbase.com/organization/vucar
Pre Seed Round - Sympl Solutions,https://www.crunchbase.com/funding_round/sympl-solutions-pre-seed--dcbaf050,Pre-Seed,,,,2023-06-12,,1,SaaS Retail Management Solution,"Retail, Retail Technology, Software","Houston, Texas, United States, North America",,,Sympl Solutions,https://www.crunchbase.com/organization/sympl-solutions
Seed Round - Third Wire Asset Management,https://www.crunchbase.com/funding_round/third-wire-asset-management-seed--3d3fd561,Seed,,,,2023-05-22,,1,An Alternative Investment Advisory Company,"Asset Management, Finance, Financial Services, Wealth Management","Chicago, Illinois, United States, North America",,https://www.thirdwireassetmanagement.com,Third Wire Asset Management,https://www.crunchbase.com/organization/third-wire-asset-management
Pre Seed Round - Riverdata,https://www.crunchbase.com/funding_round/riverdata-pre-seed--ec7e9060,Pre-Seed,,,,2023-05-23,,1,The ultimate platform for decision intelligence.,Artificial Intelligence,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",,https://riverdata.com.br,Riverdata,https://www.crunchbase.com/organization/riverdata
Pre Seed Round - International Internet Security,https://www.crunchbase.com/funding_round/international-internet-security-pre-seed--aef70635,Pre-Seed,,,,2023-05-20,,1,Guaranteed Scalability and Cost-Effectiveness. Commitment to Innovation. Elevate Your Enterprise's Data Protection and Privacy. Join us !,"Artificial Intelligence, Compliance, Cyber Security, Enterprise Software, IaaS, InsurTech, Internet of Things, PaaS, Predictive Analytics, SaaS","Montréal, Quebec, Canada, North America",,https://www.internationalinternetsecurity.com/,International Internet Security,https://www.crunchbase.com/organization/international-internet-security
Pre Seed Round - Hive,https://www.crunchbase.com/funding_round/hive-c23b-pre-seed--cd5af808,Pre-Seed,,,,2023-05-19,,1,Hive is a client and service management platform designed for wellness industry professionals.,,,,,Hive,https://www.crunchbase.com/organization/hive-c23b
Pre Seed Round - Nexus Verse,https://www.crunchbase.com/funding_round/nexus-verse-pre-seed--1080ffc7,Pre-Seed,500000,USD,500000,2023-05-19,,1,"NexusVerse - a revolutionary, immersive, and interconnected real estate metaverse.",Blockchain,,,https://nexusverse.io/,Nexus Verse,https://www.crunchbase.com/organization/nexus-verse
Seed Round - Gathe,https://www.crunchbase.com/funding_round/gathe-seed--ee98a03a,Seed,,,,2023-05-25,,2,"Revolutionizing IT hiring with a data-driven marketplace, connecting companies with top software talent and providing actionable insights.","Consulting, Information Services, Information Technology, Professional Services, Software, Web Development","Montréal, Quebec, Canada, North America",,https://gathe.io/,Gathe,https://www.crunchbase.com/organization/gathe
Pre Seed Round - Trusty Digital Ltd,https://www.crunchbase.com/funding_round/trusty-digital-pre-seed--ad8247ac,Pre-Seed,15000,USD,15000,2023-05-18,,1,To create a financial infrastructure based on reliable and secure blockchain technology.,"Consulting, Financial Services, Professional Services, Real Estate","London, England, United Kingdom, Europe",,https://trusty.digital,Trusty Digital Ltd,https://www.crunchbase.com/organization/trusty-digital
Pre Seed Round - Bollwerk,https://www.crunchbase.com/funding_round/bollwerk-pre-seed--34b116ad,Pre-Seed,,,,2023-05-19,1,2,Bollwerk provides an AI-powered research and collaboration tool for financial institutions.,"Analytics, Artificial Intelligence, Finance, FinTech, Information Technology, Machine Learning, Natural Language Processing","Zürich, Zurich, Switzerland, Europe",,https://bollwerk.io,Bollwerk,https://www.crunchbase.com/organization/bollwerk
Seed Round - Plexa,https://www.crunchbase.com/funding_round/plexa-fd57-seed--e9711abd,Seed,270000,USD,270000,2023-05-19,,1,SaaS Construction Management,"Construction, SaaS, Software",,,https://www.plexapro.com,Plexa,https://www.crunchbase.com/organization/plexa-fd57
Pre Seed Round - Sumo Analytics,https://www.crunchbase.com/funding_round/sumo-analytics-pre-seed--b1f9c061,Pre-Seed,,,,2023-05-17,,1,Sumo Analytics blends AI and human intelligence for superior predictive science and data-driven efficiency,"Analytics, Artificial Intelligence, Machine Learning, Predictive Analytics","Málaga, Andalucia, Spain, Europe",,https://www.sumoanalytics.ai,Sumo Analytics,https://www.crunchbase.com/organization/sumo-analytics
Seed Round - StepAfter,https://www.crunchbase.com/funding_round/stepafter-seed--95314f9f,Seed,,,,2023-05-17,,1,"StepAfter is a marketplace, authoring tool and mobile app for running plans.",,"Redlands, California, United States, North America",,https://www.stepafter.com,StepAfter,https://www.crunchbase.com/organization/stepafter
Seed Round - Sukuzplay,https://www.crunchbase.com/funding_round/yeba-stream-seed--45a19c6a,Seed,,,,2023-06-16,,1,Sukuzplay is a decentralized music streaming platform that helps artists distribute their music and rewards listeners in Sukuz tokens.,"Audio, Blockchain, Digital Media, Independent Music, Information Technology, Music, Music Streaming, Podcast","Douala, Littoral, Cameroon, Africa",,https://www.sukuzplay.com,Sukuzplay,https://www.crunchbase.com/organization/yeba-stream
Pre Seed Round - Thinkershub,https://www.crunchbase.com/funding_round/thinkershub-pre-seed--dd35414c,Pre-Seed,,,,2023-06-01,,1,Thinkershub is a publishing company that provides public research access.,Publishing,,,https://www.thinkershub.org,Thinkershub,https://www.crunchbase.com/organization/thinkershub
Pre Seed Round - BodaPay,https://www.crunchbase.com/funding_round/bodapay-pre-seed--733acad8,Pre-Seed,50000,USD,50000,2023-06-05,,1,"Ewallet, Collection and Disbursment API",FinTech,"Nairobi, Nairobi Area, Kenya, Africa",,https://www.bodapay.net/,BodaPay,https://www.crunchbase.com/organization/bodapay
Pre Seed Round - HiProSUN,https://www.crunchbase.com/funding_round/hiprosun-pre-seed--fb2cba09,Pre-Seed,25000,EUR,26909,2023-06-09,,1,"Proteins, Animal Feed, Nutrition, Biotechnology, CleanTech, AgTech, Agriculture, Green Energy, Sustainability, Clean Energy","AgTech, Animal Feed, Biotechnology, Clean Energy, CleanTech, GreenTech, Nutrition, Sustainability","Roth, Bayern, Germany, Europe",,https://hiprosun.com/,HiProSUN,https://www.crunchbase.com/organization/hiprosun
Seed Round - Medical-Note,https://www.crunchbase.com/funding_round/medical-note-seed--837c0a5c,Seed,,,,2023-06-01,,1,"digital tools to facilitate communication, data collection, clinical cases processing for healthcare professional","Apps, Big Data, Health Care, Medical Device, Software, Virtual Reality","Pontedera, Toscana, Italy, Europe",,http://www.medical-note.com,Medical-Note,https://www.crunchbase.com/organization/medical-note
Pre Seed Round - Cero Pollito,https://www.crunchbase.com/funding_round/cero-pollito-pre-seed--644f66dd,Pre-Seed,,,,2023-06-05,,1,We are evolving the Fast Food Industry in LATAM through an amazing plant based concept.,Restaurants,"Bogotá, Distrito Especial, Colombia, South America",,https://www.ceropollito.com/,Cero Pollito,https://www.crunchbase.com/organization/cero-pollito
Seed Round - Mayfair Coin,https://www.crunchbase.com/funding_round/mayfair-coin-seed--9704ab7e,Seed,,,,2023-05-18,,2,"Revolutionize real estate with a secure, trusted, and blockchain-based SAAS solution for web 3.0.","Advertising Platforms, Artificial Intelligence, Blockchain, Cryptocurrency, Information Technology, Property Management, Software","London, England, United Kingdom, Europe",,https://www.mayfaircoin.io,Mayfair Coin,https://www.crunchbase.com/organization/mayfair-coin
Pre Seed Round - Sage,https://www.crunchbase.com/funding_round/sage-767b-pre-seed--13fc47a6,Pre-Seed,600000,USD,600000,2023-06-05,,1,Sage is an AI development company that develops AI personal assistants.,"Artificial Intelligence, Natural Language Processing, Software","Frisco, Texas, United States, North America",,http://www.wizzysage.com,Sage,https://www.crunchbase.com/organization/sage-767b
Seed Round - VenturSeed,https://www.crunchbase.com/funding_round/venturseed-seed--fe5d7c15,Seed,,,,2023-06-01,,1,VenturSeed is a venture capital company that specializes in underrepresented founders with businesses at the pre-pre-seed stage.,"Finance, Financial Services, Venture Capital","New York, New York, United States, North America",,https://venturseed.com,VenturSeed,https://www.crunchbase.com/organization/venturseed
Pre Seed Round - JEAY Healthcare,https://www.crunchbase.com/funding_round/jeay-healthcare-pre-seed--46ba5f16,Pre-Seed,,,,2023-05-25,,1,"Mobile App, Telemedicine, Healthcare, Health-tech","Health Care, Medical, mHealth","Ibadan, Oyo, Nigeria, Africa",,https://jeayhealthcare.com/,JEAY Healthcare,https://www.crunchbase.com/organization/jeay-healthcare
Pre Seed Round - baapp,https://www.crunchbase.com/funding_round/baapp-pre-seed--ee81a67f,Pre-Seed,,,,2023-05-17,,1,Building automation made Simple - From proposals to secure remote access with everything else in between.,"Building Maintenance, Construction, CRM, Enterprise Resource Planning (ERP), Enterprise Software, Machine Learning, SaaS, Smart Building, Software","Thornhill, Ontario, Canada, North America",,https://www.baapp.com,baapp,https://www.crunchbase.com/organization/baapp
Seed Round - Tigrenator,https://www.crunchbase.com/funding_round/tigrenator-seed--f8b7bff1,Seed,,,,2023-05-31,,1,Freelancer marketplace and payments for LATAM market.,"Freelance, Virtual Workforce","Caracas, NA - Venezuela, Venezuela, South America",,https://tigrenator.com,Tigrenator,https://www.crunchbase.com/organization/tigrenator
Seed Round - Crover Group SE,https://www.crunchbase.com/funding_round/crover-world-seed--d9919cfc,Seed,,,,2023-06-01,,2,Subscription Living • Coodo Resorts • Crover Hubs,"Information Technology, Lifestyle, Real Estate, Software, Travel","Berlin, Berlin, Germany, Europe",,https://www.crovergroup.com,Crover Group SE,https://www.crunchbase.com/organization/crover-world
Seed Round - SentinelSky,https://www.crunchbase.com/funding_round/sentinelsky-seed--fe33fddf,Seed,,,,2023-06-01,,1,"Plug-and-play drone solution for public safety agencies. Real-time situational awareness, rapid emergency response, and expert flight crews.","Drone Management, Drones, Public Safety","New Orleans, Louisiana, United States, North America",,http://www.sentinelsky.com,SentinelSky,https://www.crunchbase.com/organization/sentinelsky
Pre Seed Round - Eweb Meta,https://www.crunchbase.com/funding_round/eweb-meta-pre-seed--912bc508,Pre-Seed,,,,2023-06-11,,1,"Eweb Meta specializes in building blockchain technology, making it easy for people to use crypto in their day to day activities & businesses","Blockchain, Cryptocurrency, Financial Services","Lagos, Lagos, Nigeria, Africa",,,Eweb Meta,https://www.crunchbase.com/organization/eweb-meta
