Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Mistral AI,https://www.crunchbase.com/funding_round/mistral-ai-seed--904ada2b,Seed,105000000,EUR,113291217,2023-06-13,15,1,Mistral AI is a platform that assembles team to develop the generative AI models.,,"Paris, Ile-de-France, France, Europe",,https://mistral.ai,Mistral AI,https://www.crunchbase.com/organization/mistral-ai,"Bpifrance, Eric Schmidt, Exor, Firstminute Capital, Headline, Index Ventures, JCDecaux Holding SA, La Famiglia, Lightspeed Venture Partners, LocalGlobe, Motier Ventures, Redpoint, Rodolphe Saadé, Sofina, Xavier Niel"
Pre Seed Round - Shoppable Business,https://www.crunchbase.com/funding_round/shoppable-business-pre-seed--ab1f373c,Pre-Seed,1150000,USD,1150000,2023-06-20,2,1,Trusted Hassle-Free Wholesale & Procurement Marketplace for Buying & Selling 100% Authentic Branded Products & Services in the Philippines,E-Commerce,"Makati, Manila, Philippines, Asia",,http://shoppable.ph/,Shoppable Business,https://www.crunchbase.com/organization/shoppable-business,"Foxmont Capital Partners, Seedstars"
Pre Seed Round - Danti,https://www.crunchbase.com/funding_round/danti-97f2-pre-seed--7ce53a70,Pre-Seed,2750000,USD,2750000,2023-06-21,10,2,Search engine for all of Earth's data,"Artificial Intelligence, Drone Management, Geospatial, Information Technology, Internet","Atlanta, Georgia, United States, North America",,https://danti.ai,Danti,https://www.crunchbase.com/organization/danti-97f2,"Jeff Crusey, Jordan Noone, Keith Masback, Overline, Philip Krim, Radius Capital, Raven One Ventures, Space.VC, Tareytown Ventures, Tech Square Ventures"
Seed Round - Trezy,https://www.crunchbase.com/funding_round/trezy-seed--8b567106,Seed,3000000,EUR,3283633,2023-06-15,5,2,Trezy is a Saas based simple financial forecasting and cash flow management tool.,"FinTech, SaaS","Paris, Ile-de-France, France, Europe",,https://trezy.io/,Trezy,https://www.crunchbase.com/organization/trezy,"Discovery Ventures, Kima Ventures, Playfair Capital, Seedcamp, Serge Chiaramonte"
Seed Round - Swave Photonics,https://www.crunchbase.com/funding_round/swave-photonics-seed--7945f59c,Seed,3000000,EUR,3286655,2023-06-22,5,2,Swave Photonics is a fabless semiconductor firm that designs and manufactures holographic chips based on diffractive photonics technology.,"Augmented Reality, Manufacturing, Semiconductor","Leuven, Vlaams-Brabant, Belgium, Europe",,https://www.swave.io,Swave Photonics,https://www.crunchbase.com/organization/swave-photonics,"Acequia Capital (AceCap), Flanders Future Techfund, imec.xpand, Luminate, Qbic Fund"
Pre Seed Round - Agel,https://www.crunchbase.com/funding_round/agel-dd8b-pre-seed--88d0e483,Pre-Seed,,,,2023-06-21,5,2,Agel is Egypt’s First Islamic Fintech; aiming to provide alternative financing solutions that cater MSMEs unique needs.,"B2B, Financial Services, FinTech, Lending","Cairo, Al Qahirah, Egypt, Africa",,http://www.agel.io,Agel,https://www.crunchbase.com/organization/agel-dd8b,"Banque Misr, Flat6Labs, Plus Venture Capital, SEEDRA Ventures, Seedstars"
Seed Round - Gradient Health,https://www.crunchbase.com/funding_round/gradient-health-inc-seed--fd030bf2,Seed,2750000,USD,2750000,2023-06-20,9,4,Gradient Health develops an open research platform that offers AI-based medical imaging diagnostics and infrastructure.,"Artificial Intelligence, Health Care, Medical, Wellness","Durham, North Carolina, United States, North America",Less than $1M,https://gradienthealth.io,Gradient Health,https://www.crunchbase.com/organization/gradient-health-inc,"Boro Capital, David Golan, MedMountain Ventures, ReMY Investors & Consultants, Silicon Valley Social Venture Capital, Supernode Ventures, Triangle Tweener Fund, VentureSouth, Wavemaker 360"
Seed Round - Bitewell,https://www.crunchbase.com/funding_round/bitewell-seed--dcd2c289,Seed,4000000,USD,4000000,2023-06-22,6,4,"Bitewell develops a shoppable, personalized meal-planning tool.","Food and Beverage, Health Care, Mobile Apps","Chicago, Illinois, United States, North America",,https://bitewell.com/,Bitewell,https://www.crunchbase.com/organization/bitewell,"BDMI, Harvest Ridge Capital, Lake Nona Fund, Mudita Venture Partners, Refinery Ventures, Trybe Ventures"
Seed Round - Crib,https://www.crunchbase.com/funding_round/crib-3aae-seed--c508e870,Seed,150000000,INR,1830568,2023-06-21,16,2,"Crib is a digital ecosystem that connects landlords, tenants, and entrepreneurs.",,"Bangalore, Karnataka, India, Asia",,https://crib.in/,Crib,https://www.crunchbase.com/organization/crib-3aae,"Ankur Aggarwal, Beej Network, Dream Green Capital, Faad Network, Ghazal Alagh, Imperial Holdings, Kunal Shah, Ramakant Sharma, Ravi Bhushan, Rebright Partners, Rogue Opportunities, Sandeep Aggarwal, Sigurd Venture, Supermorpheus, Vijay Shekhar Sharma, We Founder Circle"
Seed Round - Eze,https://www.crunchbase.com/funding_round/eze-seed--ecd3abc4,Seed,3700000,USD,3700000,2023-06-15,7,2,Eze is a B2B marketplace for electronics allowing buyers and sellers to trade in wholesale quantities with real-time market data.,"B2B, Electronics, Marketplace, Stock Exchanges","Los Angeles, California, United States, North America",$100M to $500M,https://www.ezewholesale.com/,Eze,https://www.crunchbase.com/organization/eze,"Boro Capital, C2 Ventures, EVPI Investments, ITOCHU Corporation, Jack Greco, Right Side Capital Management, Y Combinator"
