Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Mistral AI,https://www.crunchbase.com/funding_round/mistral-ai-seed--904ada2b,Seed,105000000,EUR,113388724,2023-06-13,15,1,Mistral AI is a platform that assembles team to develop the generative AI models.,,"Paris, Ile-de-France, France, Europe",,https://mistral.ai,Mistral AI,https://www.crunchbase.com/organization/mistral-ai,"Bpifrance, Eric Schmidt, Exor, Firstminute Capital, Headline, Index Ventures, JCDecaux Holding SA, La Famiglia, Lightspeed Venture Partners, LocalGlobe, Motier Ventures, Redpoint, Rodolphe Saadé, Sofina, Xavier Niel"
Seed Round - Trezy,https://www.crunchbase.com/funding_round/trezy-seed--8b567106,Seed,3000000,EUR,3245660,2023-06-15,5,2,"SaaS, FinTech, Cash Management, SMBs","FinTech, SaaS","Paris, Ile-de-France, France, Europe",,https://trezy.io/,Trezy,https://www.crunchbase.com/organization/trezy,"Discovery Ventures, Kima Ventures, Playfair Capital, Seedcamp, Serge Chiaramonte"
Seed Round - TaxNodes,https://www.crunchbase.com/funding_round/taxnodes-seed--6bc5ced9,Seed,131000000,INR,1594975,2023-06-14,4,1,TaxNodes is crypto tax computation and expert-assisted ITR filing startup.,,"Bengaluru, Karnataka, India, Asia",,https://www.taxnodes.com/,TaxNodes,https://www.crunchbase.com/organization/taxnodes,"Ajeet Khurana, Ashish Singhal, Nischal Shetty, Rahul Pagidipati"
Pre Seed Round - Arda Biomaterials,https://www.crunchbase.com/funding_round/arda-biomaterials-pre-seed--306496af,Pre-Seed,1100000,GBP,1384837,2023-06-12,4,1,"Arda Biomaterials transforms waste feedstocks into smarter, circular biomaterials for fashion, home goods, automotive and more.",Fashion,"Southwark, Southwark, United Kingdom, Europe",,https://www.arda.bio,Arda Biomaterials,https://www.crunchbase.com/organization/arda-biomaterials,"Clean Growth Fund, Plug and Play, Satgana, Serpentine Ventures"
Seed Round - tem.,https://www.crunchbase.com/funding_round/tem-9f9a-seed--65417071,Seed,2500000,GBP,3147358,2023-06-12,3,2,tem. allows businesses to save on energy costs whilst renewable generators are rewarded. tem. use Renewable Energy Direct.,"Energy, Energy Efficiency, Energy Management, Industrial Manufacturing, Renewable Energy","London, England, United Kingdom, Europe",,https://www.tem.energy/,tem.,https://www.crunchbase.com/organization/tem-9f9a,"AlbionVC, Christian Deger, Revent"
Seed Round - Finfra,https://www.crunchbase.com/funding_round/finfra-3a02-seed--56f70cf4,Seed,1000000,USD,1000000,2023-06-14,7,1,Embedded lending infrastructure,"Embedded Systems, FinTech, Information Technology","Jakatra, Jakarta Raya, Indonesia, Asia",,https://www.finfra.io,Finfra,https://www.crunchbase.com/organization/finfra-3a02,"BADideas.fund, Cento Ventures, DS/X Ventures, Fintech Nation, FIRSTPICK, Hustle Fund, Seedstars"
Seed Round - ZapScale,https://www.crunchbase.com/funding_round/zapscale-seed--8118042c,Seed,2500000,USD,2500000,2023-06-12,6,1,ZapScale is a business to business SaaS customer success platform.,"B2B, SaaS, Software","Wilmington, Delaware, United States, North America",,https://zapscale.com/,ZapScale,https://www.crunchbase.com/organization/zapscale,"100x Entrepreneur, Arka Venture Labs, Blume Ventures, Java Capital, T2D3 Capital, Veda VC"
Seed Round - BoomFi,https://www.crunchbase.com/funding_round/boomfi-seed--862548fd,Seed,3800000,USD,3800000,2023-06-13,10,1,"All-in-one solution to send, accept and convert crypto payments. Fast multi-chain crypto and fiat settlement.","Blockchain, FinTech, Information Technology, Payments","London, England, United Kingdom, Europe",,https://www.boomfi.xyz/,BoomFi,https://www.crunchbase.com/organization/boomfi,"Aquanow, Blockchain Founders Fund, GSR, Kraken Ventures, Mantle Network, Passion Capital, Ramp, The Giving Block, Transak, White Star Capital"
Seed Round - Connext Labs,https://www.crunchbase.com/funding_round/connext-labs-seed--ad7f2400,Seed,7500000,USD,7500000,2023-06-14,15,1,Connext Labs is a modular interoperability protocol that builds secure cross-chain apps for transferring funds and data,"Data Center, Enterprise Software, FinTech, Mobile Apps, Software, Software Engineering","San Francisco, California, United States, North America",,https://www.connext.network,Connext Labs,https://www.crunchbase.com/organization/connext-labs,"1kx, A.Capital Ventures, Coinbase Ventures, Dokia Capital, Ethereal Ventures, Factor, Fenbushi Capital, Hashed, IOSG Ventures, KXVC, NGC Ventures, NoLimit Holdings, Polychain, Polygon Ventures, Scalar Capital"
Pre Seed Round - Ironforge,https://www.crunchbase.com/funding_round/ironforge-pre-seed--62622d7d,Pre-Seed,2600000,USD,2600000,2023-06-12,6,1,A serverless Solana development platform.,,,,https://www.ironforge.cloud/,Ironforge,https://www.crunchbase.com/organization/ironforge,"6th Man Ventures, Alchemy, Hash3, Monoceros Ventures, Portage Ventures, Reciprocal Ventures"
Seed Round - Angsa Robotics,https://www.crunchbase.com/funding_round/angsa-robotics-seed--9a33c6d4,Seed,2500000,EUR,2697625,2023-06-14,1,1,Angsa Robotics one-of-a-kind system for automating rubbish collection in green environments.,"Artificial Intelligence, Robotics, Waste Management","Garching Bei München, Bayern, Germany, Europe",,https://angsa-robotics.com,Angsa Robotics,https://www.crunchbase.com/organization/angsa-robotics,Husqvarna Ventures
Seed Round - Mykare Health,https://www.crunchbase.com/funding_round/mykare-health-seed--01d7e1a4,Seed,2000000,USD,2000000,2023-06-15,23,1,"Mykare Health offers surgeries, preventive care, second medical opinion, and telemedicine services.","Health Care, Hospital, Personal Health","Ernakulam, Kerala, India, Asia",,https://mykarehealth.com,Mykare Health,https://www.crunchbase.com/organization/mykare-health,"Ajit Mohan, Ankit Tandon, Arjun Vaidya, ARK Impact, Avaana Capital, Bhavy Shah, Bhavya Shah, Deepu Sebin, Endurance Capital, F Health, Hari T.N, Himanshu Arora, Huddle, Nikhil Jaisinghani, Niraj Karia, Nitish Mittersain, OnDeck ODX - US, Phoenix Angels, Rahul Nagar, Sean Sohn, Stanford Angels and Entrepreneurs India, VeritasX, Vikas Garg"
Seed Round - Portal Gate,https://www.crunchbase.com/funding_round/portal-gate-seed--2bd31527,Seed,1100000,USD,1100000,2023-06-19,7,1,Portal Gate operates as a compliant on-chain gateway to privacy and anonymity.,Financial Services,,,https://www.portalgate.me/,Portal Gate,https://www.crunchbase.com/organization/portal-gate,"Apollo Crypto, Comma3 Ventures, Fork Ventures, Gandel Invest, Greythorn, Rebase D. Ventures, Upside"
